,Position,Driver,Car,Time,Laps
3,1,Jacques Villeneuve,Williams Renault,1:21.072,11
5,2,Michael Schumacher,Ferrari,1:21.072,11
4,3,Heinz-Harald Frentzen,Williams Renault,1:21.072,12
1,4,Damon Hill,Arrows Yamaha,1:21.130,12
9,5,Mika Hakkinen,McLaren Mercedes,1:21.369,11
10,6,David Coulthard,McLaren Mercedes,1:21.476,10
6,7,Eddie Irvine,Ferrari,1:21.610,11
8,8,Gerhard Berger,Benetton Renault,1:21.656,11
14,9,Olivier Panis,Prost Mugen Honda,1:21.735,11
7,10,Jean Alesi,Benetton Renault,1:22.011,11
23,11,Jan Magnussen,Stewart Ford,1:22.167,11
22,12,Rubens Barrichello,Stewart Ford,1:22.222,12
2,13,Pedro Diniz,Arrows Yamaha,1:22.234,11
16,14,Johnny Herbert,Sauber Petronas,1:22.263,12
15,15,Shinji Nakano,Prost Mugen Honda,1:22.351,12
11,16,Ralf Schumacher,Jordan Peugeot,1:22.740,11
12,17,Giancarlo Fisichella,Jordan Peugeot,1:22.804,12
17,18,Norberto Fontana,Sauber Petronas,1:23.281,12
20,19,Ukyo Katayama,Minardi Hart,1:23.409,12
21,20,Tarso Marques,Minardi Hart,1:23.854,12
19,21,Mika Salo,Tyrrell Ford,1:24.222,9
18,22,Jos Verstappen,Tyrrell Ford,1:24.301,12
