,Position,Driver,Car,Time,Laps
27,1,Jean Alesi,Ferrari,1:23.844,19
28,2,Gerhard Berger,Ferrari,1:23.978,24
0,3,Damon Hill,Williams Renault,1:24.158,21
12,4,Johnny Herbert,Lotus Mugen Honda,1:24.374,23
2,5,David Coulthard,Williams Renault,1:24.502,21
26,6,Olivier Panis,Ligier Renault,1:25.455,23
7,7,Mika Hakkinen,McLaren Peugeot,1:25.528,24
29,8,Andrea de Cesaris,Sauber Mercedes,1:25.540,23
15,9,Eddie Irvine,Jordan Hart,1:25.568,12
6,10,Jos Verstappen,Benetton Ford,1:25.618,18
30,11,Heinz-Harald Frentzen,Sauber Mercedes,1:25.628,20
25,12,Eric Bernard,Ligier Renault,1:25.718,20
11,13,Alessandro Zanardi,Lotus Mugen Honda,1:25.733,23
3,14,Ukyo Katayama,Tyrrell Yamaha,1:25.889,23
8,15,Martin Brundle,McLaren Peugeot,1:25.933,23
14,16,Rubens Barrichello,Jordan Hart,1:25.946,20
10,17,Gianni Morbidelli,Footwork Ford,1:26.002,24
23,18,Pierluigi Martini,Minardi Ford,1:26.056,14
9,19,Christian Fittipaldi,Footwork Ford,1:26.337,24
5,20,Jyrki Jarvilehto,Benetton Ford,1:26.384,24
4,21,Mark Blundell,Tyrrell Yamaha,1:26.574,18
24,22,Michele Alboreto,Minardi Ford,1:26.832,17
19,23,Yannick Dalmas,Larrousse Ford,1:27.846,21
20,24,Erik Comas,Larrousse Ford,1:27.894,15
32,25,Jean-Marc Gounon,Simtek Ford,1:28.353,23
31,26,David Brabham,Simtek Ford,1:28.619,17
34,27,Bertrand Gachot,Pacific Ilmor,1:31.387,18
33,28,Paul Belmondo,Pacific Ilmor,1:32.035,12
