,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:26.732,25
44,2,Lewis Hamilton,Mercedes,+0.069s,35
16,3,Charles Leclerc,Ferrari,+0.197s,30
5,4,Sebastian Vettel,Ferrari,+0.448s,30
10,5,Pierre Gasly,Red Bull Racing Honda,+0.517s,31
4,6,Lando Norris,McLaren Renault,+0.814s,38
33,7,Max Verstappen,Red Bull Racing Honda,+0.830s,32
55,8,Carlos Sainz,McLaren Renault,+1.255s,39
23,9,Alexander Albon,Scuderia Toro Rosso Honda,+1.265s,38
11,10,Sergio Perez,Racing Point BWT Mercedes,+1.270s,32
26,11,Daniil Kvyat,Scuderia Toro Rosso Honda,+1.276s,36
20,12,Kevin Magnussen,Haas Ferrari,+1.327s,30
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.394s,33
3,14,Daniel Ricciardo,Renault,+1.396s,17
27,15,Nico Hulkenberg,Renault,+1.485s,34
18,16,Lance Stroll,Racing Point BWT Mercedes,+1.508s,37
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.562s,28
8,18,Romain Grosjean,Haas Ferrari,+2.062s,26
88,19,Robert Kubica,Williams Mercedes,+3.203s,37
63,20,George Russell,Williams Mercedes,+3.782s,11
