,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
7,1,Kimi Räikkönen,Ferrari,42,1:36.311,202.294,19:14:31
5,2,Sebastian Vettel,Ferrari,38,1:36.624,201.639,19:08:14
6,3,Nico Rosberg,Mercedes,36,1:37.326,200.184,19:04:25
13,4,Pastor Maldonado,Lotus Mercedes,43,1:37.665,199.490,19:18:35
44,5,Lewis Hamilton,Mercedes,38,1:37.857,199.098,19:07:34
77,6,Valtteri Bottas,Williams Mercedes,16,1:38.095,198.615,18:31:09
12,7,Felipe Nasr,Sauber Ferrari,43,1:38.216,198.370,19:17:36
11,8,Sergio Perez,Force India Mercedes,39,1:38.338,198.124,19:10:31
9,9,Marcus Ericsson,Sauber Ferrari,27,1:38.422,197.955,18:50:31
27,10,Nico Hulkenberg,Force India Mercedes,40,1:38.653,197.492,19:12:33
26,11,Daniil Kvyat,Red Bull Racing Renault,36,1:38.725,197.348,19:05:35
3,12,Daniel Ricciardo,Red Bull Racing Renault,53,1:38.948,196.903,19:33:13
14,13,Fernando Alonso,McLaren Honda,38,1:38.992,196.815,19:09:11
19,14,Felipe Massa,Williams Mercedes,12,1:39.094,196.613,18:24:38
8,15,Romain Grosjean,Lotus Mercedes,34,1:39.161,196.480,19:01:53
33,16,Max Verstappen,STR Renault,32,1:39.607,195.600,18:59:21
55,17,Carlos Sainz,STR Renault,13,1:40.651,193.571,18:26:33
28,18,Will Stevens,Marussia Ferrari,36,1:41.759,191.464,19:07:22
98,19,Roberto Merhi,Marussia Ferrari,36,1:42.033,190.949,19:07:54
