,Position,Driver,Car,Lap,Time
19,1,Ayrton Senna,Toleman Hart,24,1:54.334
11,2,Elio de Angelis,Lotus Renault,26,1:55.026
12,3,Nigel Mansell,Lotus Renault,13,1:55.112
27,4,Michele Alboreto,Ferrari,22,1:55.437
28,5,Rene Arnoux,Ferrari,26,1:55.541
7,6,Alain Prost,McLaren TAG,19,1:55.596
14,7,Manfred Winkelhock,ATS BMW,21,1:55.712
6,8,Keke Rosberg,Williams Honda,25,1:55.775
5,9,Jacques Laffite,Williams Honda,25,1:56.946
8,10,Niki Lauda,McLaren TAG,22,1:56.996
24,11,Piercarlo Ghinzani,Osella Alfa Romeo,10,1:57.439
22,12,Riccardo Patrese,Alfa Romeo,24,1:58.527
1,13,Nelson Piquet,Brabham BMW,11,1:58.897
25,14,Francois Hesnault,Ligier Renault,12,1:59.644
2,15,Corrado Fabi,Brabham BMW,6,2:04.465
20,16,Johnny Cecotto,Toleman Hart,1,2:35.136
