,Position,Driver,Car,Time,Laps
28,1,Gerhard Berger,Ferrari,1:43.582,14
27,2,Jean Alesi,Ferrari,1:44.012,16
0,3,Damon Hill,Williams Renault,1:44.026,22
5,4,Michael Schumacher,Benetton Ford,1:44.268,15
3,5,Ukyo Katayama,Tyrrell Yamaha,1:44.718,19
2,6,David Coulthard,Williams Renault,1:45.146,23
4,7,Mark Blundell,Tyrrell Yamaha,1:45.474,21
7,8,Mika Hakkinen,McLaren Peugeot,1:45.487,17
30,9,Heinz-Harald Frentzen,Sauber Mercedes,1:45.893,17
15,10,Eddie Irvine,Jordan Hart,1:45.911,23
14,11,Rubens Barrichello,Jordan Hart,1:45.939,23
26,12,Olivier Panis,Ligier Renault,1:46.165,18
8,13,Martin Brundle,McLaren Peugeot,1:46.218,22
25,14,Eric Bernard,Ligier Renault,1:46.290,20
12,15,Johnny Herbert,Lotus Mugen Honda,1:46.630,13
10,16,Gianni Morbidelli,Footwork Ford,1:46.817,21
9,17,Christian Fittipaldi,Footwork Ford,1:47.102,21
29,18,Andrea de Cesaris,Sauber Mercedes,1:47.235,20
6,19,Jos Verstappen,Benetton Ford,1:47.316,11
23,20,Pierluigi Martini,Minardi Ford,1:47.402,22
11,21,Alessandro Zanardi,Lotus Mugen Honda,1:47.425,24
20,22,Erik Comas,Larrousse Ford,1:48.229,24
24,23,Michele Alboreto,Minardi Ford,1:48.295,21
19,24,Olivier Beretta,Larrousse Ford,1:48.681,24
31,25,David Brabham,Simtek Ford,1:48.870,19
32,26,Jean-Marc Gounon,Simtek Ford,1:49.204,15
33,27,Paul Belmondo,Pacific Ilmor,1:51.122,23
34,28,Bertrand Gachot,Pacific Ilmor,1:51.292,17
