,Position,Driver,Car,Lap,Time
2,1,David Coulthard,Williams Renault,11,1:46.211
0,2,Damon Hill,Williams Renault,9,1:46.303
5,3,Michael Schumacher,Benetton Ford,17,1:47.103
28,4,Gerhard Berger,Ferrari,12,1:47.544
8,5,Martin Brundle,McLaren Peugeot,11,1:48.329
6,6,Jos Verstappen,Benetton Ford,12,1:49.219
26,7,Olivier Panis,Ligier Renault,11,1:49.253
25,8,Eric Bernard,Ligier Renault,8,1:49.459
3,9,Ukyo Katayama,Tyrrell Yamaha,4,1:49.966
10,10,Gianni Morbidelli,Footwork Ford,12,1:49.981
9,11,Christian Fittipaldi,Footwork Ford,13,1:49.982
20,12,Erik Comas,Larrousse Ford,9,1:50.409
19,13,Olivier Beretta,Larrousse Ford,12,1:50.466
32,14,Jean-Marc Gounon,Simtek Ford,17,1:52.023
31,15,David Brabham,Simtek Ford,18,1:52.364
