,Position,Driver,Car,Lap,Time
1,1,Alain Prost,Ferrari,38,1:55.087
27,2,Ayrton Senna,McLaren Honda,36,1:55.132
28,3,Gerhard Berger,McLaren Honda,41,1:55.531
19,4,Alessandro Nannini,Benetton Ford,40,1:55.650
29,5,Eric Bernard,Lola Lamborghini,36,1:56.531
20,6,Nelson Piquet,Benetton Ford,40,1:57.036
15,7,Mauricio Gugelmin,Leyton House Judd,28,1:58.163
5,8,Thierry Boutsen,Williams Renault,20,1:58.199
12,9,Martin Donnelly,Lotus Lamborghini,29,1:58.330
16,10,Ivan Capelli,Leyton House Judd,40,1:58.351
4,11,Jean Alesi,Tyrrell Ford,39,1:58.531
6,12,Riccardo Patrese,Williams Renault,9,1:58.666
11,13,Derek Warwick,Lotus Lamborghini,41,1:59.081
8,14,Stefano Modena,Brabham Judd,39,1:59.415
2,15,Nigel Mansell,Ferrari,15,1:59.767
25,16,Nicola Larini,Ligier Ford,38,1:59.956
23,17,Pierluigi Martini,Minardi Ford,34,2:00.157
10,18,Alex Caffi,Arrows Ford,35,2:00.610
9,19,Michele Alboreto,Arrows Ford,24,2:00.671
14,20,Olivier Grouillard,Osella Ford,35,2:00.886
7,21,David Brabham,Brabham Judd,34,2:01.959
22,22,Andrea de Cesaris,Dallara Ford,9,2:02.225
21,23,Emanuele Pirro,Dallara Ford,3,2:03.152
3,24,Satoru Nakajima,Tyrrell Ford,1,2:14.599
