,Position,Driver,Car,Time / Gap
28,1,Gerhard Berger,McLaren Honda,1:52.498
2,2,Nigel Mansell,Ferrari,+0.597s
27,3,Ayrton Senna,McLaren Honda,+1.077s
1,4,Alain Prost,Ferrari,+1.156s
5,5,Thierry Boutsen,Williams Renault,+2.048s
4,6,Jean Alesi,Tyrrell Ford,+2.095s
6,7,Riccardo Patrese,Williams Renault,+2.140s
20,8,Nelson Piquet,Benetton Ford,+2.335s
19,9,Alessandro Nannini,Benetton Ford,+2.563s
15,10,Mauricio Gugelmin,Leyton House Judd,+3.032s
30,11,Aguri Suzuki,Lola Lamborghini,+3.384s
23,12,Pierluigi Martini,Minardi Ford,+3.717s
3,13,Satoru Nakajima,Tyrrell Ford,+4.267s
21,14,Emanuele Pirro,Dallara Ford,+4.280s
11,15,Derek Warwick,Lotus Lamborghini,+4.403s
29,16,Eric Bernard,Lola Lamborghini,+4.479s
9,17,Michele Alboreto,Arrows Ford,+4.592s
22,18,Andrea de Cesaris,Dallara Ford,+5.198s
26,19,Philippe Alliot,Ligier Ford,+5.244s
25,20,Nicola Larini,Ligier Ford,+5.293s
16,21,Ivan Capelli,Leyton House Judd,+5.344s
8,22,Stefano Modena,Brabham Judd,+5.759s
7,23,David Brabham,Brabham Judd,+5.919s
12,24,Martin Donnelly,Lotus Lamborghini,+6.255s
10,25,Alex Caffi,Arrows Ford,+6.523s
18,26,Yannick Dalmas,AGS Ford,+6.741s
17,27,Gabriele Tarquini,AGS Ford,+6.942s
14,28,Olivier Grouillard,Osella Ford,+7.092s
24,29,Paolo Barilla,Minardi Ford,+7.912s
