,Position,Driver,Car,Time / Gap
1,1,Alain Prost,Ferrari,1:51.116
28,2,Gerhard Berger,McLaren Honda,+0.556s
2,3,Nigel Mansell,Ferrari,+0.839s
19,4,Alessandro Nannini,Benetton Ford,+1.466s
27,5,Ayrton Senna,McLaren Honda,+1.779s
5,6,Thierry Boutsen,Williams Renault,+1.859s
4,7,Jean Alesi,Tyrrell Ford,+2.925s
20,8,Nelson Piquet,Benetton Ford,+2.930s
6,9,Riccardo Patrese,Williams Renault,+3.453s
29,10,Eric Bernard,Lola Lamborghini,+3.633s
8,11,Stefano Modena,Brabham Judd,+3.928s
12,12,Martin Donnelly,Lotus Lamborghini,+3.954s
11,13,Derek Warwick,Lotus Lamborghini,+4.074s
16,14,Ivan Capelli,Leyton House Judd,+4.090s
22,15,Andrea de Cesaris,Dallara Ford,+4.190s
10,16,Alex Caffi,Arrows Ford,+4.248s
30,17,Aguri Suzuki,Lola Lamborghini,+4.386s
24,18,Paolo Barilla,Minardi Ford,+4.514s
3,19,Satoru Nakajima,Tyrrell Ford,+4.599s
23,20,Pierluigi Martini,Minardi Ford,+4.823s
9,21,Michele Alboreto,Arrows Ford,+4.829s
7,22,David Brabham,Brabham Judd,+5.009s
15,23,Mauricio Gugelmin,Leyton House Judd,+5.080s
21,24,Emanuele Pirro,Dallara Ford,+5.472s
26,25,Philippe Alliot,Ligier Ford,+5.929s
14,26,Olivier Grouillard,Osella Ford,+6.002s
25,27,Nicola Larini,Ligier Ford,+6.184s
17,28,Gabriele Tarquini,AGS Ford,+6.505s
18,29,Yannick Dalmas,AGS Ford,+8.133s
