,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,48,1:26.672,240.617,15:14:03
6,2,Nico Rosberg,Mercedes,43,1:27.067,239.525,15:07:12
5,3,Sebastian Vettel,Ferrari,52,1:27.376,238.678,15:20:17
33,4,Max Verstappen,STR Renault,35,1:27.390,238.640,14:56:53
55,5,Carlos Sainz,STR Renault,38,1:27.510,238.313,15:01:01
77,6,Valtteri Bottas,Williams Mercedes,49,1:27.525,238.272,15:16:14
7,7,Kimi Räikkönen,Ferrari,43,1:27.584,238.111,15:07:47
19,8,Felipe Massa,Williams Mercedes,31,1:27.874,237.326,14:49:45
3,9,Daniel Ricciardo,Red Bull Racing Renault,50,1:28.065,236.811,15:18:27
11,10,Sergio Perez,Force India Mercedes,46,1:28.140,236.609,15:12:10
26,11,Daniil Kvyat,Red Bull Racing Renault,39,1:28.231,236.365,15:02:18
9,12,Marcus Ericsson,Sauber Ferrari,22,1:28.516,235.604,14:36:48
12,13,Felipe Nasr,Sauber Ferrari,51,1:28.653,235.240,15:20:42
27,14,Nico Hulkenberg,Force India Mercedes,36,1:28.913,234.552,14:57:35
14,15,Fernando Alonso,McLaren Honda,42,1:29.285,233.575,15:07:35
22,16,Jenson Button,McLaren Honda,33,1:29.766,232.324,14:53:57
28,17,Will Stevens,Marussia Ferrari,51,1:31.098,228.927,15:22:23
98,18,Roberto Merhi,Marussia Ferrari,29,1:31.311,228.393,14:48:50
