,Position,Driver,Car,Time
5,1,Sebastian Vettel,RBR Renault,1:34.558
6,2,Mark Webber,RBR Renault,1:34.806
8,3,Fernando Alonso,Ferrari,1:34.913
4,4,Nico Rosberg,Mercedes,1:34.923
1,5,Jenson Button,McLaren Mercedes,1:34.979
2,6,Lewis Hamilton,McLaren Mercedes,1:35.034
7,7,Felipe Massa,Ferrari,1:35.180
11,8,Robert Kubica,Renault,1:35.364
3,9,Michael Schumacher,Mercedes,1:35.646
14,10,Adrian Sutil,Force India Mercedes,1:35.963
9,11,Rubens Barrichello,Williams Cosworth,1:35.748
17,12,Jaime Alguersuari,STR Ferrari,1:36.047
16,13,Sebastien Buemi,STR Ferrari,1:36.149
12,14,Vitaly Petrov,Renault,1:36.311
23,15,Kamui Kobayashi,Sauber Ferrari,1:36.422
10,16,Nico Hulkenberg,Williams Cosworth,1:36.647
22,17,Pedro de la Rosa,Sauber Ferrari,1:37.020
15,18,Vitantonio Liuzzi,Force India Mercedes,1:37.161
24,19,Timo Glock,Virgin Cosworth,1:39.278
18,20,Jarno Trulli,Lotus Cosworth,1:39.399
19,21,Heikki Kovalainen,Lotus Cosworth,1:39.520
25,22,Lucas di Grassi,Virgin Cosworth,1:39.783
21,23,Bruno Senna,HRT Cosworth,1:40.469
