,Position,Driver,Car,Time,Laps
0,1,Damon Hill,Williams Renault,1:24.960,20
5,2,Michael Schumacher,Benetton Ford,1:24.963,19
28,3,Gerhard Berger,Ferrari,1:24.980,20
27,4,Jean Alesi,Ferrari,1:25.541,22
7,5,Mika Hakkinen,McLaren Peugeot,1:26.268,21
14,6,Rubens Barrichello,Jordan Hart,1:26.271,22
2,7,David Coulthard,Williams Renault,1:26.337,19
3,8,Ukyo Katayama,Tyrrell Yamaha,1:26.414,24
8,9,Martin Brundle,McLaren Peugeot,1:26.768,24
6,10,Jos Verstappen,Benetton Ford,1:26.841,12
4,11,Mark Blundell,Tyrrell Yamaha,1:26.920,22
15,12,Eddie Irvine,Jordan Hart,1:27.065,23
30,13,Heinz-Harald Frentzen,Sauber Mercedes,1:27.284,19
23,14,Pierluigi Martini,Minardi Ford,1:27.522,24
26,15,Olivier Panis,Ligier Renault,1:27.785,21
10,16,Gianni Morbidelli,Footwork Ford,1:27.886,24
24,17,Michele Alboreto,Minardi Ford,1:28.100,24
29,18,Andrea de Cesaris,Sauber Mercedes,1:28.212,22
11,19,Alessandro Zanardi,Lotus Mugen Honda,1:28.225,24
9,20,Christian Fittipaldi,Footwork Ford,1:28.231,22
12,21,Johnny Herbert,Lotus Mugen Honda,1:28.340,24
20,22,Erik Comas,Larrousse Ford,1:28.519,23
25,23,Eric Bernard,Ligier Renault,1:28.955,21
19,24,Olivier Beretta,Larrousse Ford,1:29.299,21
31,25,David Brabham,Simtek Ford,1:30.690,16
32,26,Jean-Marc Gounon,Simtek Ford,1:30.722,24
34,27,Bertrand Gachot,Pacific Ilmor,1:31.496,14
33,28,Paul Belmondo,Pacific Ilmor,1:32.507,14
