,Position,Driver,Car,Time
28,1,Fred Agabashian,Kurtis Kraft Cummins,4:20.850
9,2,Andy Linden,Kurtis Kraft Offenhauser,4:22.770
4,3,Jack McGrath,Kurtis Kraft Offenhauser,4:23.420
36,4,Duke Nalon,Kurtis Kraft Novi,4:24.340
18,5,Sam Hanks,Kurtis Kraft Offenhauser,4:25.220
1,6,Duane Carter,Lesovsky Offenhauser,4:25.640
98,7,Troy Ruttman,Kuzma Offenhauser,4:25.950
26,8,Bill  Vukovich ,Kurtis Kraft Offenhauser,4:20.470
22,9,Cliff Griffith,Kurtis Kraft Offenhauser,4:23.510
59,10,Jim Rathmann,Kurtis Kraft Offenhauser,4:24.040
16,11,Chuck  Stevenson,Kurtis Kraft Offenhauser,4:24.430
2,12,Henry Banks,Lesovsky Offenhauser,4:24.780
65,13,George Fonder,Sherman Offenhauser,4:24.810
54,14,George Connor,Kurtis Kraft Offenhauser,4:25.470
7,15,Bill Schindler,Stevens Offenhauser,4:26.690
14,16,Joe James,Kurtis Kraft Offenhauser,4:26.760
55,17,Bobby Ball,Stevens Offenhauser,4:27.210
67,18,Gene Hartley,Kurtis Kraft Offenhauser,4:27.970
12,19,Alberto Ascari,Ferrari,4:28.040
33,20,Art Cross,Kurtis Kraft Offenhauser,4:28.080
77,21,Jimmy Bryan,Kurtis Kraft Offenhauser,4:28.370
34,22,Rodger Ward,Kurtis Kraft Offenhauser,4:28.380
37,23,Jimmy Reece,Kurtis Kraft Offenhauser,4:28.670
81,24,Eddie Johnson,Trevis Offenhauser,4:28.710
93,25,Bob Scott,Kurtis Kraft Offenhauser,4:28.750
29,26,Jim Rigsby,Watson Offenhauser,4:28.850
21,27,Chet  Miller,Kurtis Kraft Novi,4:18.930
8,28,Manny Ayulo,Lesovsky Offenhauser,4:24.740
48,29,Spider Webb,Bromme Offenhauser,4:24.780
27,30,Tony  Bettenhausen,Deidt Offenhauser,4:25.910
5,31,Johnnie  Parsons,Kurtis Kraft Offenhauser,4:26.020
73,32,Bob Sweikert,Kurtis Kraft Offenhauser,4:26.700
31,33,Johnny McDowell,Kurtis Kraft Offenhauser,4:28.780
