,Position,Driver,Car,Time
9,1,Michele Alboreto,Footwork Mugen Honda,1:25.068
1,1,Ayrton Senna,McLaren Honda,1:19.775
6,2,Riccardo Patrese,Williams Renault,1:19.872
29,2,Bertrand Gachot,Venturi Lamborghini,1:25.356
30,3,Ukyo Katayama,Venturi Lamborghini,1:27.309
5,3,Nigel Mansell,Williams Renault,1:19.948
2,4,Gerhard Berger,McLaren Honda,1:20.145
14,4,Andrea Chiesa,Fondmetal Ford,1:29.562
34,5,Roberto Moreno,Moda Judd,1:43.557
19,5,Michael Schumacher,Benetton Ford,1:20.456
12,6,Johnny Herbert,Lotus Ford,1:21.645
20,7,Martin Brundle,Benetton Ford,1:21.738
27,8,Jean Alesi,Ferrari,1:21.777
28,9,Ivan Capelli,Ferrari,1:22.297
11,10,Mika Hakkinen,Lotus Ford,1:22.360
16,12,Karl Wendlinger,March Ilmor,1:22.566
24,13,Gianni Morbidelli,Minardi Lamborghini,1:22.594
4,14,Andrea de Cesaris,Tyrrell Ilmor,1:22.635
22,15,Pierluigi Martini,Dallara Ferrari,1:22.850
32,17,Stefano Modena,Jordan Yamaha,1:23.023
15,18,Gabriele Tarquini,Fondmetal Ford,1:23.063
17,20,Paul Belmondo,March Ilmor,1:23.189
25,21,Thierry Boutsen,Ligier Renault,1:23.203
26,22,Erik Comas,Ligier Renault,1:23.212
21,23,Jyrki Jarvilehto,Dallara Ferrari,1:23.249
33,24,Mauricio Gugelmin,Jordan Yamaha,1:23.431
23,25,Christian Fittipaldi,Minardi Lamborghini,1:23.433
3,26,Olivier Grouillard,Tyrrell Ilmor,1:23.469
10,27,Aguri Suzuki,Footwork Mugen Honda,1:23.721
7,28,Eric van de Poele,Brabham Judd,1:24.499
8,30,Damon Hill,Brabham Judd,1:25.812
