,Position,Driver,Car,Lap,Time
2,1,Gerhard Berger,McLaren Honda,61,1:22.325
20,2,Martin Brundle,Benetton Ford,43,1:22.328
19,3,Michael Schumacher,Benetton Ford,61,1:22.352
6,4,Riccardo Patrese,Williams Renault,42,1:22.871
21,5,Jyrki Jarvilehto,Dallara Ferrari,56,1:23.695
1,6,Ayrton Senna,McLaren Honda,36,1:23.728
27,7,Jean Alesi,Ferrari,45,1:23.774
30,8,Ukyo Katayama,Venturi Lamborghini,60,1:23.853
22,9,Pierluigi Martini,Dallara Ferrari,65,1:23.856
3,10,Olivier Grouillard,Tyrrell Ilmor,64,1:23.883
9,11,Michele Alboreto,Footwork Mugen Honda,66,1:23.906
23,12,Christian Fittipaldi,Minardi Lamborghini,63,1:24.206
26,13,Erik Comas,Ligier Renault,61,1:24.258
16,14,Karl Wendlinger,March Ilmor,45,1:24.278
25,15,Thierry Boutsen,Ligier Renault,48,1:24.284
4,16,Andrea de Cesaris,Tyrrell Ilmor,61,1:24.350
24,17,Gianni Morbidelli,Minardi Lamborghini,53,1:24.371
12,18,Johnny Herbert,Lotus Ford,29,1:24.639
11,19,Mika Hakkinen,Lotus Ford,27,1:24.659
5,20,Nigel Mansell,Williams Renault,10,1:25.408
28,21,Ivan Capelli,Ferrari,14,1:25.500
17,22,Paul Belmondo,March Ilmor,32,1:25.860
32,23,Stefano Modena,Jordan Yamaha,36,1:26.349
29,24,Bertrand Gachot,Venturi Lamborghini,5,1:26.971
33,25,Mauricio Gugelmin,Jordan Yamaha,14,1:27.223
