,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:19.632
1,2,Ayrton Senna,McLaren Honda,+0.942s
2,3,Gerhard Berger,McLaren Honda,+1.341s
6,4,Riccardo Patrese,Williams Renault,+1.967s
27,5,Jean Alesi,Ferrari,+2.224s
20,6,Martin Brundle,Benetton Ford,+2.615s
19,7,Michael Schumacher,Benetton Ford,+2.929s
3,8,Olivier Grouillard,Tyrrell Ilmor,+3.437s
9,9,Michele Alboreto,Footwork Mugen Honda,+3.636s
25,10,Thierry Boutsen,Ligier Renault,+3.725s
24,11,Gianni Morbidelli,Minardi Lamborghini,+3.749s
30,12,Ukyo Katayama,Venturi Lamborghini,+3.775s
4,13,Andrea de Cesaris,Tyrrell Ilmor,+3.879s
10,14,Aguri Suzuki,Footwork Mugen Honda,+4.070s
26,15,Erik Comas,Ligier Renault,+4.100s
15,16,Gabriele Tarquini,Fondmetal Ford,+4.235s
32,17,Stefano Modena,Jordan Yamaha,+4.238s
17,18,Paul Belmondo,March Ilmor,+4.348s
22,19,Pierluigi Martini,Dallara Ferrari,+4.377s
23,20,Christian Fittipaldi,Minardi Lamborghini,+4.900s
33,21,Mauricio Gugelmin,Jordan Yamaha,+4.900s
21,22,Jyrki Jarvilehto,Dallara Ferrari,+5.113s
16,23,Karl Wendlinger,March Ilmor,+5.136s
14,24,Andrea Chiesa,Fondmetal Ford,+5.298s
28,25,Ivan Capelli,Ferrari,+5.575s
7,26,Eric van de Poele,Brabham Judd,+5.944s
11,27,Mika Hakkinen,Lotus Ford,+6.246s
12,28,Johnny Herbert,Lotus Ford,+6.693s
8,29,Damon Hill,Brabham Judd,+7.949s
29,30,Bertrand Gachot,Venturi Lamborghini,+28.146s
