,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:36.296,1:36.450,1:34.999,13
6,2,Nico Rosberg,Mercedes,1:36.397,1:36.351,1:35.215,13
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:36.759,1:36.255,1:35.509,12
33,4,Max Verstappen,Red Bull Racing TAG Heuer,1:36.613,1:36.857,1:35.747,12
7,5,Kimi Räikkönen,Ferrari,1:36.985,1:36.584,1:36.131,12
5,6,Sebastian Vettel,Ferrari,1:37.151,1:36.462,1:36.358,13
27,7,Nico Hulkenberg,Force India Mercedes,1:36.950,1:36.626,1:36.628,12
77,8,Valtteri Bottas,Williams Mercedes,1:37.456,1:37.202,1:37.116,12
19,9,Felipe Massa,Williams Mercedes,1:37.402,1:37.214,1:37.269,12
55,10,Carlos Sainz,Toro Rosso Ferrari,1:37.744,1:37.175,1:37.326,14
11,11,Sergio Perez,Force India Mercedes,1:37.345,1:37.353,,10
14,12,Fernando Alonso,McLaren Honda,1:37.913,1:37.417,,11
26,13,Daniil Kvyat,Toro Rosso Ferrari,1:37.844,1:37.480,,12
21,14,Esteban Gutierrez ,Haas Ferrari,1:38.053,1:37.773,,10
30,15,Jolyon Palmer,Renault,1:38.084,1:37.935,,9
9,16,Marcus Ericsson,Sauber Ferrari,1:38.040,1:39.356,,11
8,17,Romain Grosjean,Haas Ferrari,1:38.308,,,8
20,18,Kevin Magnussen,Renault,1:38.317,,,6
22,19,Jenson Button,McLaren Honda,1:38.327,,,6
94,20,Pascal Wehrlein,MRT Mercedes,1:38.548,,,9
12,21,Felipe Nasr,Sauber Ferrari,1:38.583,,,8
31,22,Esteban Ocon,MRT Mercedes,1:38.806,,,8
