,Position,Driver,Car,Time,Laps
6,1,Juan Pablo Montoya,Williams BMW,1:29.906,11
5,2,Ralf Schumacher,Williams BMW,1:29.915,9
1,3,Michael Schumacher,Ferrari,1:30.035,10
2,4,Rubens Barrichello,Ferrari,1:30.387,12
3,5,David Coulthard,McLaren Mercedes,1:30.550,12
4,6,Kimi Räikkönen,McLaren Mercedes,1:30.591,12
14,7,Jarno Trulli,Renault,1:30.927,12
15,8,Jenson Button,Renault,1:31.136,12
7,9,Nick Heidfeld,Sauber Petronas,1:31.211,12
24,10,Mika Salo,Toyota,1:31.389,11
8,11,Felipe Massa,Sauber Petronas,1:31.733,12
12,12,Olivier Panis,BAR Honda,1:31.906,12
25,13,Allan McNish,Toyota,1:31.941,12
10,14,Takuma Sato,Jordan Honda,1:31.999,12
20,15,Heinz-Harald Frentzen,Arrows Cosworth,1:32.144,12
17,16,Pedro de la Rosa,Jaguar Cosworth,1:32.281,12
16,17,Eddie Irvine,Jaguar Cosworth,1:32.510,12
9,18,Giancarlo Fisichella,Jordan Honda,1:32.591,11
11,19,Jacques Villeneuve,BAR Honda,1:32.968,12
23,20,Mark Webber,Minardi Asiatech,1:32.996,12
21,21,Enrique Bernoldi,Arrows Cosworth,1:33.360,11
22,22,Alex Yoong,Minardi Asiatech,1:34.251,11
