,Position,Driver,Car,Laps,Time,Points
3,1,Fernando Alonso,Ferrari,56,1:36:26.945,25
7,2,Kimi Räikkönen,Lotus Renault,56,+10.168s,18
10,3,Lewis Hamilton,Mercedes,56,+12.322s,15
1,4,Sebastian Vettel,Red Bull Racing Renault,56,+12.525s,12
5,5,Jenson Button,McLaren Mercedes,56,+35.285s,10
4,6,Felipe Massa,Ferrari,56,+40.827s,8
19,7,Daniel Ricciardo,STR Ferrari,56,+42.691s,6
14,8,Paul di Resta,Force India Mercedes,56,+51.084s,4
8,9,Romain Grosjean,Lotus Renault,56,+53.423s,2
11,10,Nico Hulkenberg,Sauber Ferrari,56,+56.598s,1
6,11,Sergio Perez,McLaren Mercedes,56,+63.860s,0
18,12,Jean-Eric Vergne,STR Ferrari,56,+72.604s,0
17,13,Valtteri Bottas,Williams Renault,56,+93.861s,0
16,14,Pastor Maldonado,Williams Renault,56,+95.453s,0
22,15,Jules Bianchi,Marussia Cosworth,55,+1 lap,0
20,16,Charles Pic,Caterham Renault,55,+1 lap,0
23,17,Max Chilton,Marussia Cosworth,55,+1 lap,0
21,18,Giedo van der Garde,Caterham Renault,55,+1 lap,0
9,NC,Nico Rosberg,Mercedes,21,DNF,0
2,NC,Mark Webber,Red Bull Racing Renault,15,DNF,0
15,NC,Adrian Sutil,Force India Mercedes,5,DNF,0
12,NC,Esteban Gutierrez ,Sauber Ferrari,4,DNF,0
