,Position,Driver,Car,Time / Gap,Laps
3,1,Fernando Alonso,Ferrari,1:35.391,13
4,2,Felipe Massa,Ferrari,+0.622s,11
10,3,Lewis Hamilton,Mercedes,+0.674s,18
1,4,Sebastian Vettel,Red Bull Racing Renault,+0.895s,17
2,5,Mark Webber,Red Bull Racing Renault,+1.029s,15
15,6,Adrian Sutil,Force India Mercedes,+1.158s,16
7,7,Kimi Räikkönen,Lotus Renault,+1.214s,16
5,8,Jenson Button,McLaren Mercedes,+1.302s,16
6,9,Sergio Perez,McLaren Mercedes,+1.386s,16
11,10,Nico Hulkenberg,Sauber Ferrari,+1.462s,15
18,11,Jean-Eric Vergne,STR Ferrari,+1.681s,15
19,12,Daniel Ricciardo,STR Ferrari,+1.814s,18
16,13,Pastor Maldonado,Williams Renault,+1.909s,11
9,14,Nico Rosberg,Mercedes,+1.958s,12
17,15,Valtteri Bottas,Williams Renault,+2.066s,16
14,16,Paul di Resta,Force India Mercedes,+2.096s,13
12,17,Esteban Gutierrez ,Sauber Ferrari,+2.349s,20
8,18,Romain Grosjean,Lotus Renault,+2.422s,16
22,19,Jules Bianchi,Marussia Cosworth,+3.105s,17
20,20,Charles Pic,Caterham Renault,+3.430s,18
23,21,Max Chilton,Marussia Cosworth,+4.236s,16
21,22,Giedo van der Garde,Caterham Renault,+4.261s,18
