,Position,Driver,Car,Q1,Q2,Q3,Laps
10,1,Lewis Hamilton,Mercedes,1:35.793,1:35.078,1:34.484,9
7,2,Kimi Räikkönen,Lotus Renault,1:37.046,1:35.659,1:34.761,11
3,3,Fernando Alonso,Ferrari,1:36.253,1:35.148,1:34.788,12
9,4,Nico Rosberg,Mercedes,1:35.959,1:35.537,1:34.861,9
4,5,Felipe Massa,Ferrari,1:35.972,1:35.403,1:34.933,12
8,6,Romain Grosjean,Lotus Renault,1:36.929,1:36.065,1:35.364,9
19,7,Daniel Ricciardo,STR Ferrari,1:36.993,1:36.258,1:35.998,15
5,8,Jenson Button,McLaren Mercedes,1:36.667,1:35.784,2:05.673,12
1,9,Sebastian Vettel,Red Bull Racing Renault,1:36.537,1:35.343,DNF,13
11,10,Nico Hulkenberg,Sauber Ferrari,1:36.985,1:36.261,DNF,11
14,11,Paul di Resta,Force India Mercedes,1:37.478,1:36.287,,9
6,12,Sergio Perez,McLaren Mercedes,1:36.952,1:36.314,,10
15,13,Adrian Sutil,Force India Mercedes,1:37.349,1:36.405,,11
2,14,Mark Webber,Red Bull Racing Renault,1:36.148,1:36.679,,6
16,15,Pastor Maldonado,Williams Renault,1:37.281,1:37.139,,10
18,16,Jean-Eric Vergne,STR Ferrari,1:37.508,1:37.199,,12
17,17,Valtteri Bottas,Williams Renault,1:37.769,,,3
12,18,Esteban Gutierrez ,Sauber Ferrari,1:37.990,,,5
22,19,Jules Bianchi,Marussia Cosworth,1:38.780,,,6
23,20,Max Chilton,Marussia Cosworth,1:39.537,,,3
20,21,Charles Pic,Caterham Renault,1:39.614,,,6
21,22,Giedo van der Garde,Caterham Renault,1:39.660,,,6
