,Oscar Piastri
Season Position,1st
Season Points,234
Grand Prix Races,12
Grand Prix Points,220
Grand Prix Wins,5
Grand Prix Podiums,10
Grand Prix Poles,4
Grand Prix Top 10s,12
DHL Fastest Laps,4
DNFs,0
Sprint Races,2
Sprint Points,14
Sprint Wins,0
Sprint Podiums,2
Sprint Poles,0
Sprint Top 10s,2
