,Position,Driver,Car,Q1,Q2,Q3,Laps
2,1,Felipe Massa,Ferrari,1:15.190,1:15.110,1:15.787,20
1,2,Kimi Räikkönen,Ferrari,1:15.717,1:15.404,1:15.815,19
22,3,Lewis Hamilton,McLaren Mercedes,1:15.582,1:15.322,1:15.839,20
23,4,Heikki Kovalainen,McLaren Mercedes,1:15.295,1:15.389,1:16.165,25
4,5,Robert Kubica,Sauber BMW,1:15.977,1:15.483,1:16.171,18
7,6,Nico Rosberg,Williams Toyota,1:15.935,1:15.287,1:16.548,24
5,7,Fernando Alonso,Renault,1:16.646,1:15.827,1:16.852,20
11,8,Jarno Trulli,Toyota,1:16.306,1:15.598,1:17.203,21
10,9,Mark Webber,Red Bull Renault,1:16.074,1:15.745,1:17.343,19
9,10,David Coulthard,Red Bull Renault,1:16.086,1:15.839,,18
12,11,Timo Glock,Toyota,1:16.285,1:15.907,,16
16,12,Jenson Button,Honda,1:16.259,1:16.101,,13
3,13,Nick Heidfeld,Sauber BMW,1:16.650,1:16.455,,14
8,14,Kazuki Nakajima,Williams Toyota,1:16.756,1:16.479,,16
17,15,Rubens Barrichello,Honda,1:16.208,1:16.537,,12
14,16,Sebastien Bourdais,STR Ferrari,1:16.806,,,9
6,17,Nelson Piquet,Renault,1:16.933,,,8
15,18,Sebastian Vettel,STR Ferrari,1:16.955,,,11
20,19,Adrian Sutil,Force India Ferrari,1:17.225,,,12
21,20,Giancarlo Fisichella,Force India Ferrari,1:17.823,,,8
