,Position,Driver,Car,Lap,Time
5,1,Nigel Mansell,Williams Renault,49,1:19.168
27,2,Alain Prost,Ferrari,49,1:19.944
6,3,Riccardo Patrese,Williams Renault,65,1:20.028
28,4,Jean Alesi,Ferrari,56,1:20.425
1,5,Ayrton Senna,McLaren Honda,54,1:20.570
33,6,Andrea de Cesaris,Jordan Ford,57,1:21.051
25,7,Thierry Boutsen,Ligier Lamborghini,34,1:21.641
23,8,Pierluigi Martini,Minardi Ferrari,50,1:21.719
20,9,Nelson Piquet,Benetton Ford,64,1:21.873
26,10,Erik Comas,Ligier Lamborghini,26,1:21.916
29,11,Eric Bernard,Lola Ford,42,1:22.133
15,12,Mauricio Gugelmin,Leyton House Ilmor,53,1:22.309
14,13,Olivier Grouillard,Fondmetal Ford,30,1:22.837
12,14,Johnny Herbert,Lotus Judd,47,1:23.201
8,15,Mark Blundell,Brabham Yamaha,26,1:23.282
2,16,Gerhard Berger,McLaren Honda,6,1:23.297
30,17,Aguri Suzuki,Lola Ford,24,1:23.448
4,18,Stefano Modena,Tyrrell Honda,48,1:23.480
16,19,Ivan Capelli,Leyton House Ilmor,7,1:23.623
7,20,Martin Brundle,Brabham Yamaha,16,1:23.636
24,21,Gianni Morbidelli,Minardi Ferrari,5,1:23.687
19,22,Roberto Moreno,Benetton Ford,36,1:23.693
22,23,Jyrki Jarvilehto,Dallara Judd,32,1:23.748
9,24,Michele Alboreto,Footwork Porsche,16,1:24.369
3,25,Satoru Nakajima,Tyrrell Honda,12,1:24.420
