,Position,Driver,Car,Time / Gap
6,1,Riccardo Patrese,Williams Renault,1:14.669
27,2,Alain Prost,Ferrari,+0.674s
1,3,Ayrton Senna,McLaren Honda,+0.765s
28,4,Jean Alesi,Ferrari,+1.223s
5,5,Nigel Mansell,Williams Renault,+1.267s
2,6,Gerhard Berger,McLaren Honda,+2.182s
20,7,Nelson Piquet,Benetton Ford,+2.243s
4,8,Stefano Modena,Tyrrell Honda,+2.446s
23,9,Pierluigi Martini,Minardi Ferrari,+2.497s
16,10,Ivan Capelli,Leyton House Ilmor,+2.498s
19,11,Roberto Moreno,Benetton Ford,+2.548s
15,12,Mauricio Gugelmin,Leyton House Ilmor,+2.954s
14,13,Olivier Grouillard,Fondmetal Ford,+2.987s
29,14,Eric Bernard,Lola Ford,+3.071s
12,15,Johnny Herbert,Lotus Judd,+3.148s
8,16,Mark Blundell,Brabham Yamaha,+3.157s
32,17,Bertrand Gachot,Jordan Ford,+3.179s
26,18,Erik Comas,Ligier Lamborghini,+3.243s
7,19,Martin Brundle,Brabham Yamaha,+3.334s
33,20,Andrea de Cesaris,Jordan Ford,+3.363s
30,21,Aguri Suzuki,Lola Ford,+3.546s
3,22,Satoru Nakajima,Tyrrell Honda,+3.666s
25,23,Thierry Boutsen,Ligier Lamborghini,+4.003s
11,24,Mika Hakkinen,Lotus Judd,+4.015s
9,25,Michele Alboreto,Footwork Porsche,+4.050s
22,26,Jyrki Jarvilehto,Dallara Judd,+4.168s
17,27,Gabriele Tarquini,AGS Ford,+5.834s
24,28,Gianni Morbidelli,Minardi Ferrari,+5.928s
18,29,Fabrizio Barbazza,AGS Ford,+6.259s
10,30,Stefan Johansson,Footwork Porsche,+6.639s
