,Position,Driver,Car,Time / Gap
6,1,Riccardo Patrese,Williams Renault,1:17.341
5,2,Nigel Mansell,Williams Renault,+0.874s
27,3,Alain Prost,Ferrari,+0.876s
28,4,Jean Alesi,Ferrari,+0.965s
1,5,Ayrton Senna,McLaren Honda,+1.141s
2,6,Gerhard Berger,McLaren Honda,+1.347s
25,7,Thierry Boutsen,Ligier Lamborghini,+1.930s
16,8,Ivan Capelli,Leyton House Ilmor,+2.409s
26,9,Erik Comas,Ligier Lamborghini,+2.542s
33,10,Andrea de Cesaris,Jordan Ford,+2.602s
19,11,Roberto Moreno,Benetton Ford,+3.109s
22,12,Jyrki Jarvilehto,Dallara Judd,+3.193s
15,13,Mauricio Gugelmin,Leyton House Ilmor,+3.249s
14,14,Olivier Grouillard,Fondmetal Ford,+3.457s
29,15,Eric Bernard,Lola Ford,+3.612s
4,16,Stefano Modena,Tyrrell Honda,+3.642s
7,17,Martin Brundle,Brabham Yamaha,+3.782s
32,18,Bertrand Gachot,Jordan Ford,+3.820s
20,19,Nelson Piquet,Benetton Ford,+4.009s
9,20,Michele Alboreto,Footwork Porsche,+4.190s
30,21,Aguri Suzuki,Lola Ford,+4.329s
23,22,Pierluigi Martini,Minardi Ferrari,+4.364s
12,23,Johnny Herbert,Lotus Judd,+4.582s
17,24,Gabriele Tarquini,AGS Ford,+5.072s
24,25,Gianni Morbidelli,Minardi Ferrari,+5.183s
8,26,Mark Blundell,Brabham Yamaha,+5.265s
10,27,Stefan Johansson,Footwork Porsche,+5.870s
3,28,Satoru Nakajima,Tyrrell Honda,+6.108s
18,29,Fabrizio Barbazza,AGS Ford,+6.343s
11,30,Mika Hakkinen,Lotus Judd,+6.474s
