,Position,Driver,Car,Time
33,1,Andrea de Cesaris,Jordan Ford,1:19.729
6,1,Riccardo Patrese,Williams Renault,1:14.559
27,2,Alain Prost,Ferrari,1:14.789
22,2,Jyrki Jarvilehto,Dallara Judd,1:20.172
14,3,Olivier Grouillard,Fondmetal Ford,1:20.227
1,3,Ayrton Senna,McLaren Honda,1:14.857
5,4,Nigel Mansell,Williams Renault,1:14.895
32,4,Bertrand Gachot,Jordan Ford,1:20.309
2,5,Gerhard Berger,McLaren Honda,1:15.376
21,5,Emanuele Pirro,Dallara Judd,1:20.539
34,6,Nicola Larini,Lambo Lamborghini,1:20.628
28,6,Jean Alesi,Ferrari,1:15.877
35,7,Eric van de Poele,Lambo Lamborghini,1:21.304
20,7,Nelson Piquet,Benetton Ford,1:16.816
19,8,Roberto Moreno,Benetton Ford,1:16.961
31,8,Pedro Chaves,Coloni Ford,1:22.229
15,9,Mauricio Gugelmin,Leyton House Ilmor,1:17.015
24,10,Gianni Morbidelli,Minardi Ferrari,1:17.020
4,11,Stefano Modena,Tyrrell Honda,1:17.114
23,12,Pierluigi Martini,Minardi Ferrari,1:17.149
26,14,Erik Comas,Ligier Lamborghini,1:17.504
16,15,Ivan Capelli,Leyton House Ilmor,1:17.533
25,16,Thierry Boutsen,Ligier Lamborghini,1:17.775
8,17,Mark Blundell,Brabham Yamaha,1:17.836
3,18,Satoru Nakajima,Tyrrell Honda,1:18.144
12,20,Johnny Herbert,Lotus Judd,1:18.185
30,22,Aguri Suzuki,Lola Ford,1:18.224
29,23,Eric Bernard,Lola Ford,1:18.540
7,24,Martin Brundle,Brabham Yamaha,1:18.826
9,25,Michele Alboreto,Footwork Porsche,1:18.846
11,27,Mika Hakkinen,Lotus Judd,1:19.491
18,28,Fabrizio Barbazza,AGS Ford,1:20.110
17,29,Gabriele Tarquini,AGS Ford,1:20.262
10,30,Stefan Johansson,Footwork Porsche,1:21.000
