,Position,Driver,Car,Laps,Time,Points
26,1,Stirling Moss,Vanwall,18,2:59:22.700,9
2,2,Juan Manuel Fangio,Maserati,18,+193.900s,6
6,3,Harry Schell,Maserati,18,+406.800s,4
14,4,Masten Gregory,Maserati,18,+496.500s,3
30,5,Stuart  Lewis-Evans ,Vanwall,17,+1 lap,2
8,6,Giorgio  Scarlatti ,Maserati,17,+1 lap,0
24,7,Jack Brabham,Cooper Climax,15,+3 laps,0
10,NC,Paco  Godia,Maserati,10,DNF,0
20,NC,Bruce  Halford ,Maserati,9,DNF,0
34,NC,Luigi Musso,Ferrari,9,DNF,0
16,NC,Jo Bonnier,Maserati,7,DNF,0
4,NC,Jean Behra,Maserati,4,DNF,0
22,NC,Roy Salvadori,Cooper Climax,3,DNF,0
12,NC,Luigi Piotti,Maserati,1,DNF,0
18,NC,Horace  Gould ,Maserati,1,DNF,0
28,NC,Tony Brooks,Vanwall,1,DNF,0
