,Position,Driver,Car,Time
2,1,Juan Manuel Fangio,Maserati,9:44.600
26,2,Stirling Moss,Vanwall,9:54.700
34,3,Luigi Musso,Lanica Ferrari,10:00.000
4,4,Jean Behra,Maserati,10:03.100
6,5,Harry Schell,Maserati,10:04.600
28,6,Tony Brooks,Vanwall,10:08.800
14,7,Masten Gregory,Maserati,10:26.100
30,8,Stuart  Lewis-Evans ,Vanwall,10:29.600
16,9,Jo Bonnier,Maserati,10:36.200
8,10,Giorgio  Scarlatti ,Maserati,10:36.600
18,11,Horace  Gould ,Maserati,10:49.600
10,12,Paco  Godia,Maserati,11:09.800
12,13,Luigi Piotti,Maserati,11:10.600
20,14,Bruce  Halford ,Maserati,11:16.300
22,15,Roy Salvadori,Cooper Climax,11:24.200
24,16,Jack Brabham,Cooper Climax,11:35.200
