,Position,Driver,Car,Time / Gap
2,1,Gerhard Berger,McLaren Honda,1:44.797
27,2,Alain Prost,Ferrari,+1.537s
11,3,Mika Hakkinen,Lotus Judd,+4.081s
7,4,Martin Brundle,Brabham Yamaha,+4.377s
20,5,Nelson Piquet,Benetton Ford,+4.588s
1,6,Ayrton Senna,McLaren Honda,+5.249s
5,7,Nigel Mansell,Williams Renault,+5.529s
22,8,Jyrki Jarvilehto,Dallara Judd,+5.535s
3,9,Satoru Nakajima,Tyrrell Honda,+5.705s
25,10,Thierry Boutsen,Ligier Lamborghini,+5.820s
28,11,Jean Alesi,Ferrari,+6.074s
6,12,Riccardo Patrese,Williams Renault,+6.652s
23,13,Pierluigi Martini,Minardi Ferrari,+6.877s
12,14,Julian Bailey,Lotus Judd,+7.995s
33,15,Andrea de Cesaris,Jordan Ford,+8.848s
15,16,Mauricio Gugelmin,Leyton House Ilmor,+8.869s
19,17,Roberto Moreno,Benetton Ford,+10.980s
32,18,Bertrand Gachot,Jordan Ford,+11.635s
29,19,Eric Bernard,Lola Ford,+12.230s
35,20,Eric van de Poele,Lambo Lamborghini,+12.360s
10,21,Alex Caffi,Footwork Porsche,+12.510s
24,22,Gianni Morbidelli,Minardi Ferrari,+13.789s
4,23,Stefano Modena,Tyrrell Honda,+16.040s
16,24,Ivan Capelli,Leyton House Ilmor,+16.282s
8,25,Mark Blundell,Brabham Yamaha,+16.926s
30,26,Aguri Suzuki,Lola Ford,+19.095s
17,27,Gabriele Tarquini,AGS Ford,+33.277s
26,28,Erik Comas,Ligier Lamborghini,+51.813s
