,Position,Driver,Car,Time
33,1,Andrea de Cesaris,Jordan Ford,1:25.535
1,1,Ayrton Senna,McLaren Honda,1:21.877
6,2,Riccardo Patrese,Williams Renault,1:21.957
22,2,Jyrki Jarvilehto,Dallara Judd,1:25.923
27,3,Alain Prost,Ferrari,1:22.195
32,3,Bertrand Gachot,Jordan Ford,1:25.980
35,4,Eric van de Poele,Lambo Lamborghini,1:26.117
5,4,Nigel Mansell,Williams Renault,1:22.366
2,5,Gerhard Berger,McLaren Honda,1:22.567
21,5,Emanuele Pirro,Dallara Judd,1:26.305
14,6,Olivier Grouillard,Fondmetal Ford,1:26.789
4,6,Stefano Modena,Tyrrell Honda,1:23.511
28,7,Jean Alesi,Ferrari,1:23.945
34,7,Nicola Larini,Lambo Lamborghini,1:26.886
31,8,Pedro Chaves,Coloni Ford,1:31.239
24,8,Gianni Morbidelli,Minardi Ferrari,1:24.762
23,9,Pierluigi Martini,Minardi Ferrari,1:24.807
3,10,Satoru Nakajima,Tyrrell Honda,1:25.345
19,13,Roberto Moreno,Benetton Ford,1:25.655
20,14,Nelson Piquet,Benetton Ford,1:25.809
15,15,Mauricio Gugelmin,Leyton House Ilmor,1:25.841
29,17,Eric Bernard,Lola Ford,1:25.983
7,18,Martin Brundle,Brabham Yamaha,1:26.055
26,19,Erik Comas,Ligier Lamborghini,1:26.207
30,20,Aguri Suzuki,Lola Ford,1:26.356
16,22,Ivan Capelli,Leyton House Ilmor,1:26.602
8,23,Mark Blundell,Brabham Yamaha,1:26.778
25,24,Thierry Boutsen,Ligier Lamborghini,1:26.998
11,25,Mika Hakkinen,Lotus Judd,1:27.324
12,26,Julian Bailey,Lotus Judd,1:27.976
17,27,Gabriele Tarquini,AGS Ford,1:28.175
18,28,Fabrizio Barbazza,AGS Ford,1:29.665
10,29,Alex Caffi,Footwork Porsche,1:30.280
9,30,Michele Alboreto,Footwork Porsche,1:30.762
