,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:22.701
2,2,Gerhard Berger,McLaren Honda,+0.641s
27,3,Alain Prost,Ferrari,+0.809s
6,4,Riccardo Patrese,Williams Renault,+1.103s
28,5,Jean Alesi,Ferrari,+1.235s
5,6,Nigel Mansell,Williams Renault,+1.453s
4,7,Stefano Modena,Tyrrell Honda,+2.753s
23,8,Pierluigi Martini,Minardi Ferrari,+3.248s
22,9,Jyrki Jarvilehto,Dallara Judd,+3.394s
33,10,Andrea de Cesaris,Jordan Ford,+3.492s
30,11,Aguri Suzuki,Lola Ford,+3.578s
24,12,Gianni Morbidelli,Minardi Ferrari,+3.726s
15,13,Mauricio Gugelmin,Leyton House Ilmor,+3.883s
16,14,Ivan Capelli,Leyton House Ilmor,+4.022s
7,15,Martin Brundle,Brabham Yamaha,+4.051s
29,16,Eric Bernard,Lola Ford,+4.140s
32,17,Bertrand Gachot,Jordan Ford,+4.391s
26,18,Erik Comas,Ligier Lamborghini,+4.494s
35,19,Eric van de Poele,Lambo Lamborghini,+4.709s
8,20,Mark Blundell,Brabham Yamaha,+4.788s
25,21,Thierry Boutsen,Ligier Lamborghini,+4.889s
19,22,Roberto Moreno,Benetton Ford,+5.184s
17,23,Gabriele Tarquini,AGS Ford,+5.241s
20,24,Nelson Piquet,Benetton Ford,+5.251s
12,25,Julian Bailey,Lotus Judd,+5.985s
11,26,Mika Hakkinen,Lotus Judd,+6.347s
18,27,Fabrizio Barbazza,AGS Ford,+7.857s
9,28,Michele Alboreto,Footwork Porsche,+10.066s
3,29,Satoru Nakajima,Tyrrell Honda,+13.987s
10,30,Alex Caffi,Footwork Porsche,+15.613s
