,Position,Driver,Car,Lap,Time
2,1,Gerhard Berger,McLaren Honda,55,1:26.531
1,2,Ayrton Senna,McLaren Honda,47,1:27.168
19,3,Roberto Moreno,Benetton Ford,44,1:28.423
6,4,Riccardo Patrese,Williams Renault,16,1:28.776
4,5,Stefano Modena,Tyrrell Honda,40,1:28.906
22,6,Jyrki Jarvilehto,Dallara Judd,40,1:29.091
25,7,Thierry Boutsen,Ligier Lamborghini,48,1:29.368
12,8,Julian Bailey,Lotus Judd,58,1:29.968
7,9,Martin Brundle,Brabham Yamaha,50,1:30.115
15,10,Mauricio Gugelmin,Leyton House Ilmor,46,1:30.422
33,11,Andrea de Cesaris,Jordan Ford,28,1:30.471
23,12,Pierluigi Martini,Minardi Ferrari,33,1:30.476
11,13,Mika Hakkinen,Lotus Judd,56,1:30.481
35,14,Eric van de Poele,Lambo Lamborghini,50,1:30.528
16,15,Ivan Capelli,Leyton House Ilmor,24,1:31.257
8,16,Mark Blundell,Brabham Yamaha,53,1:31.442
26,17,Erik Comas,Ligier Lamborghini,42,1:31.860
32,18,Bertrand Gachot,Jordan Ford,28,1:33.534
29,19,Eric Bernard,Lola Ford,17,1:33.555
3,20,Satoru Nakajima,Tyrrell Honda,15,1:44.827
24,21,Gianni Morbidelli,Minardi Ferrari,10,1:50.522
28,22,Jean Alesi,Ferrari,2,1:55.709
30,23,Aguri Suzuki,Lola Ford,2,2:01.658
20,24,Nelson Piquet,Benetton Ford,1,2:21.555
