,Position,Driver,Car,Lap,Time,Avg Speed
5,1,Sebastian Vettel,RBR Renault,70,1:22.362,191.491
6,2,Mark Webber,RBR Renault,46,1:22.651,190.821
9,3,Rubens Barrichello,Williams Cosworth,68,1:22.811,190.452
8,4,Fernando Alonso,Ferrari,67,1:23.195,189.573
7,5,Felipe Massa,Ferrari,69,1:23.329,189.269
12,6,Vitaly Petrov,Renault,61,1:23.799,188.207
10,7,Nico Hulkenberg,Williams Cosworth,66,1:24.204,187.302
1,8,Jenson Button,McLaren Mercedes,61,1:24.205,187.300
23,9,Kamui Kobayashi,Sauber Ferrari,68,1:24.282,187.128
22,10,Pedro de la Rosa,Sauber Ferrari,65,1:24.342,186.995
15,11,Vitantonio Liuzzi,Force India Mercedes,58,1:25.358,184.770
3,12,Michael Schumacher,Mercedes,64,1:25.372,184.739
16,13,Sebastien Buemi,STR Ferrari,58,1:25.449,184.573
2,14,Lewis Hamilton,McLaren Mercedes,22,1:26.258,182.842
11,15,Robert Kubica,Renault,21,1:26.825,181.648
25,16,Lucas di Grassi,Virgin Cosworth,62,1:27.287,180.686
18,17,Jarno Trulli,Lotus Cosworth,58,1:27.429,180.393
19,18,Heikki Kovalainen,Lotus Cosworth,64,1:27.457,180.335
24,19,Timo Glock,Virgin Cosworth,59,1:27.674,179.889
4,20,Nico Rosberg,Mercedes,13,1:27.954,179.316
21,21,Bruno Senna,HRT Cosworth,61,1:28.093,179.033
14,22,Adrian Sutil,Force India Mercedes,12,1:28.177,178.862
20,23,Sakon Yamamoto,HRT Cosworth,59,1:29.278,176.657
