,Position,Driver,Car,Lap,Time
28,1,Gerhard Berger,Ferrari,31,1:21.961
20,2,Thierry Boutsen,Benetton Ford,60,1:21.992
11,3,Alain Prost,McLaren Honda,35,1:22.063
16,4,Ivan Capelli,March Judd,33,1:22.074
27,5,Michele Alboreto,Ferrari,65,1:22.123
19,6,Alessandro Nannini,Benetton Ford,23,1:22.563
5,7,Nigel Mansell,Williams Judd,47,1:22.581
12,8,Ayrton Senna,McLaren Honda,61,1:22.852
36,9,Alex Caffi,Dallara Ford,31,1:22.960
17,10,Derek Warwick,Arrows Megatron,43,1:23.043
15,11,Mauricio Gugelmin,March Judd,40,1:23.138
1,12,Nelson Piquet,Lotus Honda,33,1:23.362
21,13,Nicola Larini,Osella,44,1:23.715
6,14,Riccardo Patrese,Williams Judd,26,1:23.907
23,15,Pierluigi Martini,Minardi Ford,25,1:23.918
24,16,Luis Perez-Sala,Minardi Ford,38,1:24.301
22,17,Andrea de Cesaris,Rial Ford,10,1:24.390
29,18,Yannick Dalmas,Lola Ford,15,1:24.647
14,19,Philippe Streiff,AGS Ford,46,1:24.785
3,20,Jonathan  Palmer,Tyrrell Ford,42,1:24.950
25,21,Rene Arnoux,Ligier Judd,59,1:24.954
18,22,Eddie  Cheever,Arrows Megatron,9,1:25.073
31,23,Gabriele Tarquini,Coloni Ford,37,1:25.291
2,24,Satoru Nakajima,Lotus Honda,14,1:26.094
30,25,Philippe Alliot,Lola Ford,6,1:26.109
26,26,Stefan Johansson,Ligier Judd,4,1:26.153
