,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:18.537
11,2,Alain Prost,McLaren Honda,+0.462s
6,3,Riccardo Patrese,Williams Judd,+1.157s
5,4,Nigel Mansell,Williams Judd,+1.788s
16,5,Ivan Capelli,March Judd,+2.302s
28,6,Gerhard Berger,Ferrari,+2.317s
19,7,Alessandro Nannini,Benetton Ford,+2.501s
1,8,Nelson Piquet,Lotus Honda,+2.629s
20,9,Thierry Boutsen,Benetton Ford,+2.641s
15,10,Mauricio Gugelmin,March Judd,+2.662s
27,11,Michele Alboreto,Ferrari,+2.897s
36,12,Alex Caffi,Dallara Ford,+2.931s
17,13,Derek Warwick,Arrows Megatron,+2.956s
18,14,Eddie  Cheever,Arrows Megatron,+2.988s
14,15,Philippe Streiff,AGS Ford,+3.438s
23,16,Pierluigi Martini,Minardi Ford,+3.661s
22,17,Andrea de Cesaris,Rial Ford,+3.739s
24,18,Luis Perez-Sala,Minardi Ford,+3.936s
29,19,Yannick Dalmas,Lola Ford,+3.998s
25,20,Rene Arnoux,Ligier Judd,+4.013s
26,21,Stefan Johansson,Ligier Judd,+4.212s
30,22,Philippe Alliot,Lola Ford,+4.426s
3,23,Jonathan  Palmer,Tyrrell Ford,+4.511s
21,24,Nicola Larini,Osella,+4.514s
9,25,Piercarlo Ghinzani,Zakspeed,+5.163s
31,26,Gabriele Tarquini,Coloni Ford,+5.270s
2,27,Satoru Nakajima,Lotus Honda,+5.325s
33,28,Stefano Modena,Euro Brun Ford,+5.539s
4,29,Julian Bailey,Tyrrell Ford,+5.694s
32,30,Oscar Larrauri,Euro Brun Ford,+6.609s
10,31,Bernd Schneider,Zakspeed,+6.726s
