,Position,Driver,Car,Time
29,1,Eric Bernard,Lola Lamborghini,1:27.134
27,1,Ayrton Senna,McLaren Honda,1:21.314
30,2,Aguri Suzuki,Lola Lamborghini,1:27.548
1,2,Alain Prost,Ferrari,1:21.776
14,3,Olivier Grouillard,Osella Ford,1:27.938
4,3,Jean Alesi,Tyrrell Ford,1:21.801
6,4,Riccardo Patrese,Williams Renault,1:22.026
33,4,Roberto Moreno,Euro Brun Judd,1:28.295
17,5,Gabriele Tarquini,AGS Ford,1:28.677
28,5,Gerhard Berger,McLaren Honda,1:22.682
5,6,Thierry Boutsen,Williams Renault,1:22.691
18,6,Yannick Dalmas,AGS Ford,1:30.511
34,7,Claudio Langes,Euro Brun Judd,1:33.195
2,7,Nigel Mansell,Ferrari,1:22.733
23,8,Pierluigi Martini,Minardi Ford,1:23.149
31,8,Bertrand Gachot,Coloni Subaru,1:39.295
39,9,Bruno Giacomelli,Life,1:41.187
21,9,Emanuele Pirro,Dallara Ford,1:23.494
20,10,Nelson Piquet,Benetton Ford,1:23.566
12,11,Martin Donnelly,Lotus Lamborghini,1:23.600
22,12,Andrea de Cesaris,Dallara Ford,1:23.613
11,13,Derek Warwick,Lotus Lamborghini,1:23.656
8,14,Stefano Modena,Brabham Judd,1:23.920
19,16,Alessandro Nannini,Benetton Ford,1:24.139
25,17,Nicola Larini,Ligier Ford,1:24.206
26,18,Philippe Alliot,Ligier Ford,1:24.294
24,19,Paolo Barilla,Minardi Ford,1:24.334
35,20,Gregor Foitek,Onyx Ford,1:24.367
3,21,Satoru Nakajima,Tyrrell Ford,1:24.371
10,22,Alex Caffi,Arrows Ford,1:25.000
16,23,Ivan Capelli,Leyton House Judd,1:25.020
7,25,David Brabham,Brabham Judd,1:25.420
36,26,Jyrki Jarvilehto,Onyx Ford,1:25.508
9,27,Michele Alboreto,Arrows Ford,1:25.622
15,29,Mauricio Gugelmin,Leyton House Judd,1:26.192
