,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Sebastian Vettel,Red Bull Racing Renault,53,1:41.852,191.536
5,2,Fernando Alonso,Ferrari,49,1:42.308,190.683
4,3,Jenson Button,McLaren Mercedes,57,1:42.340,190.623
2,4,Mark Webber,Red Bull Racing Renault,39,1:42.534,190.262
6,5,Felipe Massa,Ferrari,53,1:42.705,189.945
3,6,Lewis Hamilton,McLaren Mercedes,47,1:42.947,189.499
12,7,Pastor Maldonado,Williams Cosworth,47,1:43.134,189.155
10,8,Vitaly Petrov,Renault,41,1:43.151,189.124
16,9,Kamui Kobayashi,Sauber Ferrari,42,1:43.517,188.456
14,10,Adrian Sutil,Force India Mercedes,53,1:43.526,188.439
19,11,Jaime Alguersuari,STR Ferrari,53,1:43.579,188.343
8,12,Nico Rosberg,Mercedes,53,1:43.649,188.215
15,13,Paul di Resta,Force India Mercedes,54,1:43.851,187.849
9,14,Nick Heidfeld,Renault,51,1:43.901,187.759
17,15,Sergio Perez,Sauber Ferrari,41,1:43.949,187.672
18,16,Sebastien Buemi,STR Ferrari,47,1:44.103,187.395
11,17,Rubens Barrichello,Williams Cosworth,55,1:44.131,187.344
7,18,Michael Schumacher,Mercedes,50,1:44.578,186.544
20,19,Heikki Kovalainen,Lotus Renault,44,1:45.055,185.697
21,20,Jarno Trulli,Lotus Renault,28,1:46.208,183.681
24,21,Timo Glock,Virgin Cosworth,49,1:46.628,182.957
25,22,Jerome d'Ambrosio,Virgin Cosworth,51,1:47.164,182.042
23,23,Vitantonio Liuzzi,HRT Cosworth,37,1:47.418,181.612
22,24,Narain Karthikeyan,HRT Cosworth,32,1:47.708,181.123
