,Position,Driver,Car,Time
1,1,Sebastian Vettel,Red Bull Racing Renault,1:36.975
2,2,Mark Webber,Red Bull Racing Renault,1:37.163
3,3,Lewis Hamilton,McLaren Mercedes,1:37.380
5,4,Fernando Alonso,Ferrari,1:37.454
6,5,Felipe Massa,Ferrari,1:37.535
4,6,Jenson Button,McLaren Mercedes,1:37.645
8,7,Nico Rosberg,Mercedes,1:38.231
7,8,Michael Schumacher,Mercedes,1:38.240
9,9,Nick Heidfeld,Renault,
14,10,Adrian Sutil,Force India Mercedes,
10,11,Vitaly Petrov,Renault,1:39.068
15,12,Paul di Resta,Force India Mercedes,1:39.422
11,13,Rubens Barrichello,Williams Cosworth,1:39.489
16,14,Kamui Kobayashi,Sauber Ferrari,1:39.525
12,15,Pastor Maldonado,Williams Cosworth,1:39.645
17,16,Sergio Perez,Sauber Ferrari,1:39.657
18,17,Sebastien Buemi,STR Ferrari,1:39.711
19,18,Jaime Alguersuari,STR Ferrari,1:40.232
20,19,Heikki Kovalainen,Lotus Renault,1:41.664
21,20,Jarno Trulli,Lotus Renault,1:42.234
24,21,Timo Glock,Virgin Cosworth,1:42.553
23,22,Vitantonio Liuzzi,HRT Cosworth,1:43.584
25,23,Jerome d'Ambrosio,Virgin Cosworth,1:43.735
22,24,Narain Karthikeyan,HRT Cosworth,1:44.363
