,Position,Driver,Car,Laps,Time,Points
3,1,Michael Schumacher,Ferrari,69,1:40:57.355,10
5,2,Giancarlo Fisichella,Benetton Playlife,69,+16.662s,6
4,3,Eddie Irvine,Ferrari,69,+60.058s,4
6,4,Alexander Wurz,Benetton Playlife,69,+63.232s,3
18,5,Rubens Barrichello,Stewart Ford,69,+81.512s,2
19,6,Jan Magnussen,Stewart Ford,68,+1 lap,1
22,7,Shinji Nakano,Minardi Ford,68,+1 lap,0
20,8,Ricardo Rosset,Tyrrell Ford,68,+1 lap,0
16,9,Pedro Diniz,Arrows,68,+1 lap,0
1,10,Jacques Villeneuve,Williams Mecachrome,63,+6 laps,0
23,NC,Esteban Tuero,Minardi Ford,53,DNF,0
9,NC,Damon Hill,Jordan Mugen Honda,42,DNF,0
11,NC,Olivier Panis,Prost Peugeot,39,DNF,0
2,NC,Heinz-Harald Frentzen,Williams Mecachrome,20,DNF,0
7,NC,David Coulthard,McLaren Mercedes,18,DNF,0
15,NC,Johnny Herbert,Sauber Petronas,18,DNF,0
17,NC,Mika Salo,Arrows,18,DNF,0
8,NC,Mika Hakkinen,McLaren Mercedes,0,DNF,0
10,NC,Ralf Schumacher,Jordan Mugen Honda,0,DNF,0
14,NC,Jean Alesi,Sauber Petronas,0,DNF,0
12,NC,Jarno Trulli,Prost Peugeot,0,DNF,0
21,NC,Toranosuke Takagi,Tyrrell Ford,0,DNF,0
