,Position,Driver,Car,Time,Laps
7,1,David Coulthard,McLaren Mercedes,1:18.213,11
8,2,Mika Hakkinen,McLaren Mercedes,1:18.282,11
3,3,Michael Schumacher,Ferrari,1:18.497,12
5,4,Giancarlo Fisichella,Benetton Playlife,1:18.826,12
10,5,Ralf Schumacher,Jordan Mugen Honda,1:19.242,12
1,6,Jacques Villeneuve,Williams Mecachrome,1:19.588,12
2,7,Heinz-Harald Frentzen,Williams Mecachrome,1:19.614,12
4,8,Eddie Irvine,Ferrari,1:19.616,12
14,9,Jean Alesi,Sauber Petronas,1:19.693,12
9,10,Damon Hill,Jordan Mugen Honda,1:19.717,12
6,11,Alexander Wurz,Benetton Playlife,1:19.765,12
15,12,Johnny Herbert,Sauber Petronas,1:19.845,12
18,13,Rubens Barrichello,Stewart Ford,1:19.953,8
12,14,Jarno Trulli,Prost Peugeot,1:20.188,11
11,15,Olivier Panis,Prost Peugeot,1:20.303,11
21,16,Toranosuke Takagi,Tyrrell Ford,1:20.328,12
17,17,Mika Salo,Arrows,1:20.536,12
22,18,Shinji Nakano,Minardi Ford,1:21.230,12
16,19,Pedro Diniz,Arrows,1:21.301,12
19,20,Jan Magnussen,Stewart Ford,1:21.629,11
23,21,Esteban Tuero,Minardi Ford,1:21.822,12
20,22,Ricardo Rosset,Tyrrell Ford,1:21.824,12
