,Position,Driver,Car,Lap,Time
28,1,Gerhard Berger,Ferrari,10,2:00.772
12,2,Ayrton Senna,McLaren Honda,18,2:01.061
11,3,Alain Prost,McLaren Honda,18,2:01.702
27,4,Michele Alboreto,Ferrari,34,2:01.924
15,5,Mauricio Gugelmin,March Judd,14,2:02.255
19,6,Alessandro Nannini,Benetton Ford,39,2:02.298
16,7,Ivan Capelli,March Judd,14,2:02.302
1,8,Nelson Piquet,Lotus Honda,23,2:02.598
20,9,Thierry Boutsen,Benetton Ford,21,2:02.849
17,10,Derek Warwick,Arrows Megatron,24,2:03.002
6,11,Riccardo Patrese,Williams Judd,19,2:03.220
2,12,Satoru Nakajima,Lotus Honda,20,2:03.448
18,13,Eddie  Cheever,Arrows Megatron,24,2:03.653
5,14,Martin Brundle,Williams Judd,9,2:04.088
36,15,Alex Caffi,Dallara Ford,24,2:04.475
31,16,Gabriele Tarquini,Coloni Ford,36,2:04.589
14,17,Philippe Streiff,AGS Ford,23,2:05.028
30,18,Philippe Alliot,Lola Ford,37,2:05.083
3,19,Jonathan  Palmer,Tyrrell Ford,21,2:05.525
26,20,Stefan Johansson,Ligier Judd,39,2:05.681
21,21,Nicola Larini,Osella,12,2:06.514
9,22,Piercarlo Ghinzani,Zakspeed,14,2:06.653
10,23,Bernd Schneider,Zakspeed,19,2:06.810
29,24,Yannick Dalmas,Lola Ford,7,2:07.497
25,25,Rene Arnoux,Ligier Judd,2,2:07.978
22,26,Andrea de Cesaris,Rial Ford,2,2:08.821
