,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Mark Webber,Red Bull Racing Renault,46,1:40.571,198.415
5,2,Fernando Alonso,Ferrari,49,1:40.717,198.127
10,3,Vitaly Petrov,Renault,49,1:41.054,197.466
4,4,Jenson Button,McLaren Mercedes,50,1:41.264,197.057
3,5,Lewis Hamilton,McLaren Mercedes,54,1:41.512,196.575
1,6,Sebastian Vettel,Red Bull Racing Renault,33,1:41.539,196.523
9,7,Nick Heidfeld,Renault,47,1:41.547,196.508
8,8,Nico Rosberg,Mercedes,45,1:41.778,196.062
6,9,Felipe Massa,Ferrari,41,1:41.999,195.637
16,10,Kamui Kobayashi,Sauber Ferrari,39,1:42.095,195.453
7,11,Michael Schumacher,Mercedes,45,1:42.491,194.698
18,12,Sebastien Buemi,STR Ferrari,36,1:42.659,194.379
15,13,Paul di Resta,Force India Mercedes,48,1:42.883,193.956
14,14,Adrian Sutil,Force India Mercedes,34,1:42.973,193.786
17,15,Sergio Perez,Sauber Ferrari,19,1:43.298,193.177
20,16,Heikki Kovalainen,Lotus Renault,43,1:43.677,192.470
19,17,Jaime Alguersuari,STR Ferrari,37,1:43.744,192.346
21,18,Jarno Trulli,Lotus Renault,23,1:45.280,189.540
25,19,Jerome d'Ambrosio,Virgin Cosworth,41,1:45.346,189.421
24,20,Timo Glock,Virgin Cosworth,50,1:45.357,189.401
11,21,Rubens Barrichello,Williams Cosworth,10,1:45.516,189.116
12,22,Pastor Maldonado,Williams Cosworth,5,1:45.689,188.806
23,23,Vitantonio Liuzzi,HRT Cosworth,42,1:46.521,187.332
22,24,Narain Karthikeyan,HRT Cosworth,5,1:49.385,182.427
