,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,66,1:33:07.680,25
33,2,Max Verstappen,Red Bull Racing Honda,66,+15.841s,19
77,3,Valtteri Bottas,Mercedes,66,+26.610s,15
16,4,Charles Leclerc,Ferrari,66,+54.616s,12
11,5,Sergio Perez,Red Bull Racing Honda,66,+63.671s,10
3,6,Daniel Ricciardo,McLaren Mercedes,66,+73.768s,8
55,7,Carlos Sainz,Ferrari,66,+74.670s,6
4,8,Lando Norris,McLaren Mercedes,65,+1 lap,4
31,9,Esteban Ocon,Alpine Renault,65,+1 lap,2
10,10,Pierre Gasly,AlphaTauri Honda,65,+1 lap,1
18,11,Lance Stroll,Aston Martin Mercedes,65,+1 lap,0
7,12,Kimi Räikkönen,Alfa Romeo Racing Ferrari,65,+1 lap,0
5,13,Sebastian Vettel,Aston Martin Mercedes,65,+1 lap,0
63,14,George Russell,Williams Mercedes,65,+1 lap,0
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,65,+1 lap,0
6,16,Nicholas Latifi,Williams Mercedes,65,+1 lap,0
14,17,Fernando Alonso,Alpine Renault,65,+1 lap,0
47,18,Mick Schumacher,Haas Ferrari,64,+2 laps,0
9,19,Nikita Mazepin,Haas Ferrari,64,+2 laps,0
22,NC,Yuki Tsunoda,AlphaTauri Honda,6,DNF,0
