,Position,Driver,Car,Time,Laps
0,1,Damon Hill,Williams Renault,1:16.282,24
2,2,Nigel Mansell,Williams Renault,1:16.359,21
5,3,Michael Schumacher,Benetton Ford,1:16.707,20
27,4,Jean Alesi,Ferrari,1:16.954,20
28,5,Gerhard Berger,Ferrari,1:16.959,22
15,6,Eddie Irvine,Jordan Hart,1:17.441,22
14,7,Rubens Barrichello,Jordan Hart,1:17.482,22
6,8,Jos Verstappen,Benetton Ford,1:17.645,14
7,9,Mika Hakkinen,McLaren Peugeot,1:17.768,19
30,10,Heinz-Harald Frentzen,Sauber Mercedes,1:17.830,21
29,11,Andrea de Cesaris,Sauber Mercedes,1:17.866,23
8,12,Martin Brundle,McLaren Peugeot,1:18.031,23
26,13,Olivier Panis,Ligier Renault,1:18.044,23
3,14,Ukyo Katayama,Tyrrell Yamaha,1:18.192,24
25,15,Eric Bernard,Ligier Renault,1:18.236,21
23,16,Pierluigi Martini,Minardi Ford,1:18.248,22
4,17,Mark Blundell,Tyrrell Yamaha,1:18.381,24
9,18,Christian Fittipaldi,Footwork Ford,1:18.568,21
12,19,Johnny Herbert,Lotus Mugen Honda,1:18.715,24
20,20,Erik Comas,Larrousse Ford,1:18.811,20
24,21,Michele Alboreto,Minardi Ford,1:18.890,24
10,22,Gianni Morbidelli,Footwork Ford,1:18.936,20
11,23,Alessandro Zanardi,Lotus Mugen Honda,1:19.066,23
31,24,David Brabham,Simtek Ford,1:19.771,22
19,25,Olivier Beretta,Larrousse Ford,1:19.863,16
32,26,Jean-Marc Gounon,Simtek Ford,1:21.829,17
34,27,Bertrand Gachot,Pacific Ilmor,1:21.952,22
33,28,Paul Belmondo,Pacific Ilmor,1:23.004,15
