,Position,Driver,Car,Lap,Time
0,1,Damon Hill,Williams Renault,4,1:19.678
5,2,Michael Schumacher,Benetton Ford,3,1:19.753
27,3,Jean Alesi,Ferrari,3,1:20.220
2,4,Nigel Mansell,Williams Renault,4,1:20.242
28,5,Gerhard Berger,Ferrari,3,1:20.659
14,6,Rubens Barrichello,Jordan Hart,11,1:20.762
6,7,Jos Verstappen,Benetton Ford,25,1:21.536
7,8,Mika Hakkinen,McLaren Peugeot,37,1:21.829
8,9,Martin Brundle,McLaren Peugeot,23,1:21.992
15,10,Eddie Irvine,Jordan Hart,8,1:22.007
30,11,Heinz-Harald Frentzen,Sauber Mercedes,4,1:22.080
29,12,Andrea de Cesaris,Sauber Mercedes,13,1:22.121
3,13,Ukyo Katayama,Tyrrell Yamaha,10,1:22.493
26,14,Olivier Panis,Ligier Renault,14,1:22.625
23,15,Pierluigi Martini,Minardi Ford,57,1:22.740
12,16,Johnny Herbert,Lotus Mugen Honda,9,1:22.763
9,17,Christian Fittipaldi,Footwork Ford,9,1:22.852
20,18,Erik Comas,Larrousse Ford,14,1:23.037
25,19,Eric Bernard,Ligier Renault,9,1:23.195
10,20,Gianni Morbidelli,Footwork Ford,4,1:23.299
4,21,Mark Blundell,Tyrrell Yamaha,34,1:23.368
11,22,Alessandro Zanardi,Lotus Mugen Honda,13,1:23.558
24,23,Michele Alboreto,Minardi Ford,5,1:23.676
19,24,Olivier Beretta,Larrousse Ford,4,1:23.739
31,25,David Brabham,Simtek Ford,5,1:23.920
32,26,Jean-Marc Gounon,Simtek Ford,6,1:24.351
