,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
16,1,Charles Leclerc,Ferrari,50,1:43.009,209.795,17:44:53
77,2,Valtteri Bottas,Mercedes,50,1:44.024,207.748,17:43:45
44,3,Lewis Hamilton,Mercedes,48,1:44.166,207.465,17:40:17
5,4,Sebastian Vettel,Ferrari,46,1:44.629,206.546,17:36:52
33,5,Max Verstappen,Red Bull Racing Honda,39,1:44.794,206.221,17:23:39
4,6,Lando Norris,McLaren Renault,43,1:45.394,205.047,17:32:52
11,7,Sergio Perez,Racing Point BWT Mercedes,49,1:45.524,204.795,17:43:13
10,8,Pierre Gasly,Red Bull Racing Honda,34,1:45.712,204.430,17:15:10
23,9,Alexander Albon,Scuderia Toro Rosso Honda,49,1:45.754,204.349,17:44:02
55,10,Carlos Sainz,McLaren Renault,43,1:45.807,204.247,17:32:42
99,11,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,45,1:45.969,203.935,17:37:00
18,12,Lance Stroll,Racing Point BWT Mercedes,38,1:46.009,203.858,17:23:12
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,48,1:46.479,202.958,17:42:12
20,14,Kevin Magnussen,Haas Ferrari,42,1:46.682,202.572,17:31:56
3,15,Daniel Ricciardo,Renault,29,1:46.767,202.410,17:07:01
63,16,George Russell,Williams Mercedes,42,1:47.251,201.497,17:32:49
27,17,Nico Hulkenberg,Renault,43,1:47.407,201.204,17:34:03
26,18,Daniil Kvyat,Scuderia Toro Rosso Honda,28,1:47.681,200.692,17:05:13
88,19,Robert Kubica,Williams Mercedes,45,1:47.709,200.640,17:38:59
8,20,Romain Grosjean,Haas Ferrari,33,1:48.517,199.146,17:14:41
