,Position,Driver,Car,Q1,Q2,Q3,Laps
77,1,Valtteri Bottas,Mercedes,1:42.026,1:41.500,1:40.495,20
44,2,Lewis Hamilton,Mercedes,1:41.614,1:41.580,1:40.554,21
5,3,Sebastian Vettel,Ferrari,1:42.042,1:41.889,1:40.797,23
33,4,Max Verstappen,Red Bull Racing Honda,1:41.727,1:41.388,1:41.069,15
11,5,Sergio Perez,Racing Point BWT Mercedes,1:42.249,1:41.870,1:41.593,17
26,6,Daniil Kvyat,Scuderia Toro Rosso Honda,1:42.324,1:42.221,1:41.681,23
4,7,Lando Norris,McLaren Renault,1:42.371,1:42.084,1:41.886,23
99,8,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:42.140,1:42.381,1:42.424,21
7,DQ,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:42.059,1:42.082,1:43.068,21
16,9,Charles Leclerc,Ferrari,1:41.426,1:41.995,,11
55,10,Carlos Sainz,McLaren Renault,1:41.936,1:42.398,,17
3,11,Daniel Ricciardo,Renault,1:42.486,1:42.477,,15
23,12,Alexander Albon,Scuderia Toro Rosso Honda,1:42.154,1:42.494,,18
20,13,Kevin Magnussen,Haas Ferrari,1:42.382,1:42.699,,16
10,DQ,Pierre Gasly,Red Bull Racing Honda,1:41.335,,,5
18,14,Lance Stroll,Racing Point BWT Mercedes,1:42.630,,,8
8,15,Romain Grosjean,Haas Ferrari,1:43.407,,,10
27,16,Nico Hulkenberg,Renault,1:43.427,,,8
63,17,George Russell,Williams Mercedes,1:45.062,,,9
88,18,Robert Kubica,Williams Mercedes,1:45.455,,,8
