,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Michael Schumacher,Ferrari,15,1:36.125,218.003
2,2,Rubens Barrichello,Ferrari,23,1:36.345,217.505
5,3,Ralf Schumacher,Williams BMW,26,1:36.590,216.954
6,4,Juan Pablo Montoya,Williams BMW,38,1:36.757,216.579
4,5,Kimi Räikkönen,McLaren Mercedes,46,1:36.848,216.376
24,6,Mika Salo,Toyota,20,1:37.761,214.355
10,7,Takuma Sato,Jordan Honda,35,1:37.840,214.182
14,8,Jarno Trulli,Renault,30,1:38.000,213.832
15,9,Jenson Button,Renault,31,1:38.046,213.732
11,10,Jacques Villeneuve,BAR Honda,24,1:38.058,213.706
9,11,Giancarlo Fisichella,Jordan Honda,23,1:38.217,213.360
3,12,David Coulthard,McLaren Mercedes,6,1:38.251,213.286
7,13,Nick Heidfeld,Sauber Petronas,21,1:38.534,212.673
16,14,Eddie Irvine,Jaguar Cosworth,40,1:38.647,212.430
17,15,Pedro de la Rosa,Jaguar Cosworth,35,1:38.836,212.023
8,16,Felipe Massa,Sauber Petronas,3,1:39.954,209.652
23,17,Mark Webber,Minardi Asiatech,51,1:40.232,209.070
22,18,Alex Yoong,Minardi Asiatech,6,1:40.937,207.610
12,19,Olivier Panis,BAR Honda,4,1:42.082,205.282
