,Position,Driver,Car,Time / Gap,Laps
1,1,Michael Schumacher,Ferrari,1:32.978,21
5,2,Ralf Schumacher,Williams BMW,+0.255s,22
4,3,Kimi Räikkönen,McLaren Mercedes,+0.312s,22
6,4,Juan Pablo Montoya,Williams BMW,+0.547s,20
3,5,David Coulthard,McLaren Mercedes,+0.658s,22
2,6,Rubens Barrichello,Ferrari,+0.710s,18
16,7,Eddie Irvine,Jaguar Cosworth,+1.566s,20
10,8,Takuma Sato,Jordan Honda,+1.679s,22
15,9,Jenson Button,Renault,+1.745s,21
8,10,Felipe Massa,Sauber Petronas,+1.765s,17
9,11,Giancarlo Fisichella,Jordan Honda,+1.901s,19
7,12,Nick Heidfeld,Sauber Petronas,+1.955s,20
11,13,Jacques Villeneuve,BAR Honda,+2.129s,22
14,14,Jarno Trulli,Renault,+2.352s,20
12,15,Olivier Panis,BAR Honda,+2.560s,18
17,16,Pedro de la Rosa,Jaguar Cosworth,+2.589s,18
24,17,Mika Salo,Toyota,+3.287s,21
23,18,Mark Webber,Minardi Asiatech,+3.607s,19
25,19,Allan McNish,Toyota,+3.662s,19
22,20,Alex Yoong,Minardi Asiatech,+4.994s,25
