,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:15.537,31
6,2,Nico Rosberg,Mercedes,+0.101s,39
5,3,Sebastian Vettel,Ferrari,+0.419s,26
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,+0.771s,29
33,5,Max Verstappen,Red Bull Racing TAG Heuer,+0.834s,30
26,6,Daniil Kvyat,Toro Rosso Ferrari,+0.889s,37
27,7,Nico Hulkenberg,Force India Mercedes,+1.023s,34
11,8,Sergio Perez,Force India Mercedes,+1.160s,28
7,9,Kimi Räikkönen,Ferrari,+1.375s,24
55,10,Carlos Sainz,Toro Rosso Ferrari,+1.593s,39
77,11,Valtteri Bottas,Williams Mercedes,+2.025s,44
8,12,Romain Grosjean,Haas Ferrari,+2.062s,33
14,13,Fernando Alonso,McLaren Honda,+2.301s,27
21,14,Esteban Gutierrez ,Haas Ferrari,+2.372s,25
22,15,Jenson Button,McLaren Honda,+2.383s,26
12,16,Felipe Nasr,Sauber Ferrari,+2.650s,29
20,17,Kevin Magnussen,Renault,+2.737s,34
9,18,Marcus Ericsson,Sauber Ferrari,+2.764s,33
19,19,Felipe Massa,Williams Mercedes,+3.209s,10
30,20,Jolyon Palmer,Renault,+3.334s,22
88,21,Rio Haryanto,MRT Mercedes,+4.991s,28
94,22,Pascal Wehrlein,MRT Mercedes,+5.331s,25
