,Position,Driver,Car,Time / Gap,Laps
5,1,Sebastian Vettel,Ferrari,1:14.650,25
44,2,Lewis Hamilton,Mercedes,+0.018s,24
6,3,Nico Rosberg,Mercedes,+0.122s,29
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,+0.157s,22
33,5,Max Verstappen,Red Bull Racing TAG Heuer,+0.431s,17
26,6,Daniil Kvyat,Toro Rosso Ferrari,+0.609s,23
55,7,Carlos Sainz,Toro Rosso Ferrari,+0.674s,26
11,8,Sergio Perez,Force India Mercedes,+0.718s,21
7,9,Kimi Räikkönen,Ferrari,+0.905s,22
27,10,Nico Hulkenberg,Force India Mercedes,+1.016s,20
19,11,Felipe Massa,Williams Mercedes,+1.418s,29
14,12,Fernando Alonso,McLaren Honda,+1.607s,24
22,13,Jenson Button,McLaren Honda,+1.648s,23
77,14,Valtteri Bottas,Williams Mercedes,+1.697s,21
21,15,Esteban Gutierrez ,Haas Ferrari,+1.756s,23
20,16,Kevin Magnussen,Renault,+1.762s,13
8,17,Romain Grosjean,Haas Ferrari,+1.877s,27
12,18,Felipe Nasr,Sauber Ferrari,+2.217s,23
9,19,Marcus Ericsson,Sauber Ferrari,+2.388s,32
30,20,Jolyon Palmer,Renault,+2.832s,17
94,21,Pascal Wehrlein,MRT Mercedes,+2.945s,32
88,22,Rio Haryanto,MRT Mercedes,+3.530s,34
