,Position,Driver,Car,Time
1,1,Jim Clark,Lotus Climax,1:29.300
3,2,Graham Hill,BRM,1:29.600
10,3,Jack Brabham,Lotus Climax,1:31.000
11,4,Innes Ireland,Lotus BRM,1:31.100
6,5,John Surtees,Lola Climax,1:31.500
9,6,Tony Maggs,Cooper Climax,1:31.700
4,7,Richie Ginther,BRM,1:31.700
8,8,Bruce McLaren,Cooper Climax,1:31.700
2,9,Trevor  Taylor ,Lotus Climax,1:32.700
20,10,Neville Lederle,Lotus Climax,1:33.600
7,11,Roy Salvadori,Lola Climax,1:35.400
18,12,John Love,Cooper Climax,1:36.400
14,13,Ernie Pieterse,Lotus Climax,1:36.800
21,14,Doug Serrurier,LDS Alfa Romeo,1:36.800
22,15,Mike  Harris ,Cooper Alfa Romeo,1:39.100
15,16,Carel Godin de Beaufort ,Porsche,1:39.200
5,17,Bruce  Johnstone ,BRM,
