,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:06.947,1:06.228,1:07.922,21
6,2,Nico Rosberg,Mercedes,1:06.516,1:06.403,1:08.465,20
27,3,Nico Hulkenberg,Force India Mercedes,1:07.385,1:07.257,1:09.285,25
5,4,Sebastian Vettel,Ferrari,1:06.761,1:06.602,1:09.781,18
22,5,Jenson Button,McLaren Honda,1:07.653,1:07.572,1:09.900,22
7,6,Kimi Räikkönen,Ferrari,1:07.240,1:06.940,1:09.901,21
3,7,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:07.500,1:06.840,1:09.980,20
77,8,Valtteri Bottas,Williams Mercedes,1:07.148,1:06.911,1:10.440,18
33,9,Max Verstappen,Red Bull Racing TAG Heuer,1:07.131,1:06.866,1:11.153,17
19,10,Felipe Massa,Williams Mercedes,1:07.419,1:07.145,1:11.977,21
21,11,Esteban Gutierrez ,Haas Ferrari,1:07.660,1:07.578,,18
94,12,Pascal Wehrlein,MRT Mercedes,1:07.565,1:07.700,,17
8,13,Romain Grosjean,Haas Ferrari,1:07.662,1:07.850,,19
14,14,Fernando Alonso,McLaren Honda,1:07.671,1:08.154,,12
55,15,Carlos Sainz,Toro Rosso Ferrari,1:07.618,,,10
11,16,Sergio Perez,Force India Mercedes,1:07.657,,,5
20,17,Kevin Magnussen,Renault,1:07.941,,,10
30,18,Jolyon Palmer,Renault,1:07.965,,,9
88,19,Rio Haryanto,MRT Mercedes,1:08.026,,,11
26,20,Daniil Kvyat,Toro Rosso Ferrari,1:08.409,,,8
9,21,Marcus Ericsson,Sauber Ferrari,1:08.418,,,12
12,22,Felipe Nasr,Sauber Ferrari,1:08.446,,,13
