,Position,Driver,Car,Time / Gap,Laps
6,1,Kimi Räikkönen,Ferrari,1:27.988,22
5,2,Felipe Massa,Ferrari,+0.403s,20
1,3,Fernando Alonso,McLaren Mercedes,+1.234s,20
2,4,Lewis Hamilton,McLaren Mercedes,+1.273s,10
4,5,Heikki Kovalainen,Renault,+1.358s,19
16,6,Nico Rosberg,Williams Toyota,+1.415s,23
11,7,Ralf Schumacher,Toyota,+1.426s,24
3,8,Giancarlo Fisichella,Renault,+1.553s,19
9,9,Nick Heidfeld,Sauber BMW,+1.653s,20
12,10,Jarno Trulli,Toyota,+1.697s,26
10,11,Robert Kubica,Sauber BMW,+1.722s,23
23,12,Anthony Davidson,Super Aguri Honda,+2.396s,17
14,13,David Coulthard,Red Bull Renault,+2.410s,23
7,14,Jenson Button,Honda,+2.495s,17
8,15,Rubens Barrichello,Honda,+2.592s,25
18,16,Vitantonio Liuzzi,STR Ferrari,+2.624s,21
22,17,Takuma Sato,Super Aguri Honda,+2.636s,15
17,18,Alexander Wurz,Williams Toyota,+2.888s,12
15,19,Mark Webber,Red Bull Renault,+2.929s,22
19,20,Sebastian Vettel,STR Ferrari,+3.395s,22
20,21,Adrian Sutil,Spyker Ferrari,+3.457s,31
21,22,Sakon Yamamoto,Spyker Ferrari,+4.282s,35
