,Position,Driver,Car,Q1,Q2,Q3,Laps
5,1,Felipe Massa,Ferrari,1:27.488,1:27.039,1:27.329,18
2,2,Lewis Hamilton,McLaren Mercedes,1:27.513,1:26.936,1:27.373,17
6,3,Kimi Räikkönen,Ferrari,1:27.294,1:26.902,1:27.546,18
1,4,Fernando Alonso,McLaren Mercedes,1:27.328,1:26.841,1:27.574,17
10,5,Robert Kubica,Sauber BMW,1:27.997,1:27.253,1:27.722,17
9,6,Nick Heidfeld,Sauber BMW,1:28.099,1:27.253,1:28.037,17
4,7,Heikki Kovalainen,Renault,1:28.127,1:27.784,1:28.491,24
16,8,Nico Rosberg,Williams Toyota,1:28.275,1:27.750,1:28.501,20
12,9,Jarno Trulli,Toyota,1:28.318,1:27.801,1:28.740,24
3,10,Giancarlo Fisichella,Renault,1:28.313,1:27.880,1:29.322,24
23,11,Anthony Davidson,Super Aguri Honda,1:28.304,1:28.002,,12
15,12,Mark Webber,Red Bull Renault,1:28.500,1:28.013,,12
14,13,David Coulthard,Red Bull Renault,1:28.395,1:28.100,,12
8,14,Rubens Barrichello,Honda,1:28.792,1:28.188,,12
7,15,Jenson Button,Honda,1:28.373,1:28.220,,12
17,16,Alexander Wurz,Williams Toyota,1:28.360,1:28.390,,14
18,17,Vitantonio Liuzzi,STR Ferrari,1:28.798,,,9
11,18,Ralf Schumacher,Toyota,1:28.809,,,7
22,19,Takuma Sato,Super Aguri Honda,1:28.953,,,8
19,20,Sebastian Vettel,STR Ferrari,1:29.408,,,6
20,21,Adrian Sutil,Spyker Ferrari,1:29.861,,,9
21,22,Sakon Yamamoto,Spyker Ferrari,1:31.479,,,7
