,Position,Driver,Car,Time,Laps
2,1,Rubens Barrichello,Ferrari,1:10.223,6
1,2,Michael Schumacher,Ferrari,1:10.400,6
10,3,Takuma Sato,BAR Honda,1:10.601,6
9,4,Jenson Button,BAR Honda,1:10.820,6
3,5,Juan Pablo Montoya,Williams BMW,1:11.062,6
4,6,Ralf Schumacher,Williams BMW,1:11.106,6
6,7,Kimi Räikkönen,McLaren Mercedes,1:11.137,6
17,8,Olivier Panis,Toyota,1:11.167,6
8,9,Fernando Alonso,Renault,1:11.185,6
14,10,Mark Webber,Jaguar Cosworth,1:11.286,6
16,11,Cristiano da Matta,Toyota,1:11.691,6
5,12,David Coulthard,McLaren Mercedes,1:12.026,6
15,13,Christian Klien,Jaguar Cosworth,1:12.170,6
11,14,Giancarlo Fisichella,Sauber Petronas,1:12.470,6
12,15,Felipe Massa,Sauber Petronas,1:12.721,6
18,16,Nick Heidfeld,Jordan Ford,1:13.147,6
19,17,Giorgio Pantano,Jordan Ford,1:13.375,6
20,18,Gianmaria Bruni,Minardi Cosworth,1:14.010,6
21,19,Zsolt Baumgartner,Minardi Cosworth,1:14.812,6
7,20,Jarno Trulli,Renault,1:10.559,5
