,Position,Driver,Car,Laps,Time,Points
7,1,Denny Hulme,McLaren Ford,80,1:56:46.049,9
2,2,Ronnie Peterson,Lotus Ford,80,+4.030s,6
6,3,Francois  Cevert ,Tyrrell Ford,80,+14.670s,4
10,4,Carlos Reutemann,Brabham Ford,80,+18.070s,3
5,5,Jackie Stewart,Tyrrell Ford,80,+26.000s,2
3,6,Jacky Ickx,Ferrari,79,+1 lap,1
8,7,Peter   Revson,McLaren Ford,79,+1 lap,0
15,8,Mike  Beuttler ,March Ford,77,+3 laps,0
19,9,Clay Regazzoni,BRM,77,+3 laps,0
24,10,Carlos Pace,Surtees Ford,77,+3 laps,0
25,11,Howden  Ganley ,Iso Marlboro Ford,76,+4 laps,0
1,12,Emerson Fittipaldi,Lotus Ford,76,DNF,0
21,13,Niki Lauda,BRM,75,+5 laps,0
20,NC,Jean-Pierre Beltoise,BRM,57,DNF,0
17,NC,Jackie Oliver,Shadow Ford,50,DNF,0
23,NC,Mike Hailwood,Surtees Ford,41,DNF,0
14,NC,Jean-Pierre Jarier,March Ford,36,DNF,0
12,NC,Graham Hill,Shadow Ford,16,DNF,0
11,NC,Wilson Fittipaldi,Brabham Ford,0,DNF,0
