,Position,Driver,Car,Time
2,1,Ronnie Peterson,Lotus Ford,1:23.810
6,2,Francois  Cevert ,Tyrrell Ford,1:23.899
5,3,Jackie Stewart,Tyrrell Ford,1:23.912
1,4,Emerson Fittipaldi,Lotus Ford,1:24.084
10,5,Carlos Reutemann,Brabham Ford,1:24.489
7,6,Denny Hulme,McLaren Ford,1:24.625
8,7,Peter   Revson,McLaren Ford,1:24.937
3,8,Jacky Ickx,Ferrari,1:25.604
20,9,Jean-Pierre Beltoise,BRM,1:25.738
23,10,Mike Hailwood,Surtees Ford,1:25.776
25,11,Howden  Ganley ,Iso Marlboro Ford,1:25.800
19,12,Clay Regazzoni,BRM,1:25.995
11,13,Wilson Fittipaldi,Brabham Ford,1:26.127
27,14,Reine   Wisell,March Ford,1:26.187
21,15,Niki Lauda,BRM,1:26.211
24,16,Carlos Pace,Surtees Ford,1:26.255
17,17,Jackie Oliver,Shadow Ford,1:26.305
12,18,Graham Hill,Shadow Ford,1:26.382
16,19,George  Follmer ,Shadow Ford,1:26.632
14,20,Jean-Pierre Jarier,March Ford,1:26.874
15,21,Mike  Beuttler ,March Ford,1:28.580
