,Position,Driver,Car,Time
5,1,Michael Schumacher,Benetton Ford,1:22.762
0,2,Damon Hill,Williams Renault,1:22.892
2,3,Nigel Mansell,Williams Renault,1:23.392
30,4,Heinz-Harald Frentzen,Sauber Mercedes,1:23.431
14,5,Rubens Barrichello,Jordan Hart,1:23.455
28,6,Gerhard Berger,Ferrari,1:23.677
25,7,Johnny Herbert,Ligier Renault,1:24.040
10,8,Gianni Morbidelli,Footwork Ford,1:24.079
7,9,Mika Hakkinen,McLaren Peugeot,1:24.122
15,10,Eddie Irvine,Jordan Hart,1:24.157
26,11,Olivier Panis,Ligier Renault,1:24.432
6,12,Jos Verstappen,Benetton Ford,1:24.643
3,13,Ukyo Katayama,Tyrrell Yamaha,1:24.738
4,14,Mark Blundell,Tyrrell Yamaha,1:24.770
8,15,Martin Brundle,McLaren Peugeot,1:25.110
27,16,Jean Alesi,Ferrari,1:25.182
23,17,Pierluigi Martini,Minardi Ford,1:25.294
29,18,Andrea de Cesaris,Sauber Mercedes,1:25.407
9,19,Christian Fittipaldi,Footwork Ford,1:25.427
24,20,Michele Alboreto,Minardi Ford,1:25.511
12,21,Alessandro Zanardi,Lotus Mugen Honda,1:25.557
11,22,Eric Bernard,Lotus Mugen Honda,1:25.595
20,23,Erik Comas,Larrousse Ford,1:26.272
19,24,Hideki Noda,Larrousse Ford,1:27.168
31,25,David Brabham,Simtek Ford,1:27.201
32,26,Domenico Schiattarella,Simtek Ford,1:27.976
