,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Benetton Ford,17,1:25.040
14,2,Rubens Barrichello,Jordan Hart,62,1:25.529
0,3,Damon Hill,Williams Renault,10,1:25.532
15,4,Eddie Irvine,Jordan Hart,52,1:26.259
27,5,Jean Alesi,Ferrari,67,1:26.410
2,6,Nigel Mansell,Williams Renault,36,1:26.448
3,7,Ukyo Katayama,Tyrrell Yamaha,59,1:26.511
26,8,Olivier Panis,Ligier Renault,59,1:26.613
28,9,Gerhard Berger,Ferrari,40,1:26.629
10,10,Gianni Morbidelli,Footwork Ford,54,1:26.651
7,11,Mika Hakkinen,McLaren Peugeot,60,1:26.656
30,12,Heinz-Harald Frentzen,Sauber Mercedes,56,1:26.947
9,13,Christian Fittipaldi,Footwork Ford,25,1:27.030
25,14,Johnny Herbert,Ligier Renault,63,1:27.040
4,15,Mark Blundell,Tyrrell Yamaha,42,1:27.392
29,16,Andrea de Cesaris,Sauber Mercedes,17,1:27.635
20,17,Erik Comas,Larrousse Ford,17,1:27.755
24,18,Michele Alboreto,Minardi Ford,13,1:27.952
6,19,Jos Verstappen,Benetton Ford,15,1:28.249
8,20,Martin Brundle,McLaren Peugeot,7,1:28.355
12,21,Alessandro Zanardi,Lotus Mugen Honda,67,1:28.467
23,22,Pierluigi Martini,Minardi Ford,44,1:28.551
11,23,Eric Bernard,Lotus Mugen Honda,6,1:29.147
31,24,David Brabham,Simtek Ford,21,1:29.307
19,25,Hideki Noda,Jordan Hart,4,1:30.525
32,26,Domenico Schiattarella,Simtek Ford,51,1:30.912
