,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Benetton Renault,1:27.274,18
28,2,Gerhard Berger,Ferrari,1:27.282,15
6,3,David Coulthard,Williams Renault,1:27.459,21
5,4,Damon Hill,Williams Renault,1:27.512,24
27,5,Jean Alesi,Ferrari,1:27.813,23
8,6,Mika Hakkinen,McLaren Mercedes,1:28.343,11
15,7,Eddie Irvine,Jordan Peugeot,1:28.516,11
2,8,Johnny Herbert,Benetton Renault,1:29.350,22
7,9,Nigel Mansell,McLaren Mercedes,1:29.517,21
14,10,Rubens Barrichello,Jordan Peugeot,1:29.551,23
9,11,Gianni Morbidelli,Footwork Hart,1:29.582,17
26,12,Olivier Panis,Ligier Mugen Honda,1:30.760,23
4,13,Mika Salo,Tyrrell Yamaha,1:31.035,22
30,14,Heinz-Harald Frentzen,Sauber Ford,1:31.358,24
3,15,Ukyo Katayama,Tyrrell Yamaha,1:31.630,23
25,16,Aguri Suzuki,Ligier Mugen Honda,1:31.913,23
12,17,Jos Verstappen,Simtek Ford,1:32.156,22
23,18,Pierluigi Martini,Minardi Ford,1:32.445,20
10,19,Taki Inoue,Footwork Hart,1:32.710,24
24,20,Luca Badoer,Minardi Ford,1:33.071,24
29,21,Karl Wendlinger,Sauber Ford,1:33.494,23
16,22,Bertrand Gachot,Pacific Ilmor,1:33.892,19
11,23,Domenico Schiattarella,Simtek Ford,1:33.965,20
17,24,Andrea Montermini,Pacific Ilmor,1:35.169,20
22,25,Roberto Moreno,Forti Ford,1:36.065,17
21,26,Pedro Diniz,Forti Ford,1:36.624,24
