,Position,Driver,Car,Lap,Time
28,1,Gerhard Berger,Ferrari,57,1:29.568
5,2,Damon Hill,Williams Renault,42,1:29.710
27,3,Jean Alesi,Ferrari,42,1:30.008
6,4,David Coulthard,Williams Renault,59,1:30.049
2,5,Johnny Herbert,Benetton Renault,60,1:30.055
15,6,Eddie Irvine,Jordan Peugeot,53,1:30.868
8,7,Mika Hakkinen,McLaren Mercedes,54,1:31.029
26,8,Olivier Panis,Ligier Mugen Honda,44,1:31.135
7,9,Nigel Mansell,McLaren Mercedes,41,1:31.251
30,10,Heinz-Harald Frentzen,Sauber Ford,60,1:31.754
25,11,Aguri Suzuki,Ligier Mugen Honda,55,1:32.280
23,12,Pierluigi Martini,Minardi Ford,59,1:32.505
9,13,Gianni Morbidelli,Footwork Hart,54,1:33.415
14,14,Rubens Barrichello,Jordan Peugeot,30,1:33.540
29,15,Karl Wendlinger,Sauber Ford,43,1:33.617
24,16,Luca Badoer,Minardi Ford,49,1:33.838
11,17,Domenico Schiattarella,Simtek Ford,31,1:35.534
16,18,Bertrand Gachot,Pacific Ilmor,35,1:36.136
3,19,Ukyo Katayama,Tyrrell Yamaha,23,1:37.243
22,20,Roberto Moreno,Forti Ford,52,1:37.529
21,21,Pedro Diniz,Forti Ford,52,1:37.872
4,22,Mika Salo,Tyrrell Yamaha,17,1:39.837
12,23,Jos Verstappen,Simtek Ford,12,1:44.585
1,24,Michael Schumacher,Benetton Renault,8,1:45.701
17,25,Andrea Montermini,Pacific Ilmor,12,1:47.102
10,26,Taki Inoue,Footwork Hart,11,1:59.717
